name,country,span,matches,innings,overs,madiens,runs,wickets,best_bowling_figure,average,economy,strike_rate,4-fer,5-fer
KMDN Kulasekara,SL,2008-2017,58,58,205.1,6,1530,66,4/31,23.18,7.45,18.6,2,0
BAW Mendis,SL,2008-2014,39,39,147.3,5,952,66,6/8,14.42,6.45,13.4,3,2
MJ Santner,NZ,2015-2021,62,61,208.2,1,1515,66,4/11,22.95,7.27,18.9,2,0
SCJ Broad,ENG,2006-2014,56,55,195.3,2,1491,65,4/24,22.93,7.62,18.0,1,0
B Kumar,INDIA,2012-2022,62,62,220.5,3,1537,64,5/24,24.01,6.96,20.7,2,1
DW Steyn,SA,2007-2020,47,47,169.1,3,1175,64,4/9,18.35,6.94,15.8,2,0
Bilal Khan,OMA,2015-2022,46,45,162.1,6,1040,63,4/19,16.50,6.41,15.4,3,0
Imran Tahir,SA/World,2013-2019,38,38,140.5,0,948,63,5/23,15.04,6.73,13.4,2,2
MA Starc,AUS,2012-2022,51,51,193.0,1,1458,63,3/11,23.14,7.55,18.3,0,0
TA Boult,NZ,2013-2021,44,44,165.3,1,1345,62,4/34,21.69,8.12,16.0,1,0
PWH de Silva,SL,2019-2022,38,36,132.4,0,877,62,4/9,14.14,6.61,12.8,2,0
R Ashwin,INDIA,2010-2021,51,51,191.0,2,1298,61,4/8,21.27,6.79,18.7,2,0
Mohammad Hafeez,PAK,2006-2021,119,79,210.1,3,1388,61,4/10,22.75,6.60,20.6,1,0
SM Sharif,SCOT,2012-2021,53,52,181.1,0,1470,61,4/24,24.09,8.11,17.8,2,0
Hasan Ali,PAK,2016-2022,49,48,166.1,5,1389,60,4/18,23.15,8.35,16.6,1,0
Rohan Mustafa,UAE,2014-2022,54,52,173.2,3,1178,60,4/18,19.63,6.79,17.3,1,0
MR Adair,IRE,2019-2022,39,39,140.5,2,996,59,4/23,16.88,7.07,14.3,2,0
Mohammad Amir,PAK,2009-2020,50,50,179.5,5,1263,59,4/13,21.40,7.02,18.2,1,0
NL McCullum,NZ,2007-2016,63,59,187.1,0,1278,58,4/16,22.03,6.82,19.3,2,0
KJ O'Brien,IRE,2008-2021,110,52,152.5,0,1149,58,4/45,19.81,7.51,15.8,1,0
PM Seelaar,NED,2008-2021,77,64,188.4,4,1290,58,4/19,22.24,6.83,19.5,1,0
T Shamsi,SA,2017-2022,50,50,183.0,1,1265,58,4/25,21.81,6.91,18.9,2,0
Karan KC,NEPAL,2015-2022,38,38,127.4,2,962,57,5/21,16.87,7.53,13.4,2,1
S Badree,WI/World,2012-2018,52,52,191.0,4,1180,56,4/15,21.07,6.17,20.4,1,0
MRJ Watt,SCOT,2015-2021,47,45,167.0,2,1164,56,5/27,20.78,6.97,17.8,0,1
Imad Wasim,PAK,2015-2021,58,57,204.0,3,1292,55,5/14,23.49,6.33,22.2,1,1
WB Rankin,ENG/IRE,2009-2020,50,49,178.0,2,1219,55,3/16,22.16,6.84,19.4,0,0
Sohail Tanvir,PAK,2007-2017,57,57,202.2,3,1454,54,3/12,26.92,7.18,22.4,0,0
RE van der Merwe,NED/SA,2009-2021,46,44,155.1,1,995,54,4/35,18.42,6.41,17.2,1,0
SP Narine,WI,2012-2019,51,49,183.4,1,1105,52,4/12,21.25,6.01,21.1,1,0
JN Frylinck,NAM,2019-2022,35,34,116.0,0,768,51,6/24,15.05,6.62,13.6,1,1
NLTC Perera,ICC/SL/World,2010-2021,84,67,183.4,1,1717,51,3/24,33.66,9.34,21.6,0,0
K Rabada,SA,2014-2022,43,43,157.1,0,1326,51,3/20,26.00,8.43,18.4,0,0
GP Swann,ENG,2008-2012,39,38,135.0,4,859,51,3/13,16.84,6.36,15.8,0,0
SO Ngoche,KENYA,2010-2021,41,40,139.0,2,903,49,4/14,18.42,6.49,17.0,2,0
PVD Chameera,SL,2015-2022,50,50,178.3,0,1453,48,4/17,30.27,8.14,22.3,1,0
SS Cottrell,WI,2014-2022,41,40,142.1,4,1111,48,4/28,23.14,7.81,17.7,1,0
RA Jadeja,INDIA,2009-2022,58,56,187.1,4,1318,48,3/15,27.45,7.04,23.3,0,0
PA van Meekeren,NED,2013-2021,46,44,150.1,2,1081,48,4/11,22.52,7.19,18.7,2,0
SR Watson,AUS,2006-2016,58,49,155.0,2,1187,48,4/15,24.72,7.65,19.3,1,0
CA Young,IRE,2015-2022,48,46,155.3,1,1212,48,4/13,25.25,7.79,19.4,2,0
AC Agar,AUS,2016-2022,46,46,161.4,1,1048,47,6/30,22.29,6.48,20.6,0,2
M Morkel,SA/World,2007-2017,44,44,158.4,3,1191,47,4/17,25.34,7.50,20.2,2,0
Shaheen Shah Afridi,PAK,2018-2022,40,40,147.2,2,1143,47,3/20,24.31,7.75,18.8,0,0
AJ Tye,AUS,2016-2021,32,31,113.5,1,997,47,4/23,21.21,8.75,14.5,1,0
Aizaz Khan,HKG,2014-2020,39,39,133.2,2,933,46,3/10,20.28,6.99,17.3,0,0
JR Hazlewood,AUS,2013-2022,30,30,114.4,4,829,46,4/12,18.02,7.22,14.9,4,0
Khawar Ali,OMA,2015-2022,41,39,119.2,0,790,46,4/11,17.17,6.62,15.5,3,0
Iqbal Hussain,QAT,2019-2021,26,26,94.0,0,693,45,4/16,15.40,7.37,12.5,2,0
Abdur Razzak,BAN,2006-2014,34,33,121.4,4,838,44,4/16,19.04,6.88,16.5,1,0
Ahsan Malik,NED,2012-2017,31,29,95.5,1,730,44,5/19,16.59,7.61,13.0,1,1
PJ Cummins,AUS,2011-2022,39,39,142.0,3,1002,44,3/15,22.77,7.05,19.3,0,0
JW Dernbach,ENG/ITA,2011-2021,40,39,137.4,1,1170,44,4/22,26.59,8.49,18.7,1,0
DJG Sammy,WI/World,2007-2017,68,59,152.4,0,1116,44,5/26,25.36,7.31,20.8,1,1
Al-Amin Hossain,BAN,2013-2020,31,29,102.2,0,730,43,3/20,16.97,7.13,14.2,0,0
Mudassar Bukhari,NED,2008-2016,38,35,117.2,4,780,43,4/7,18.13,6.64,16.3,3,0
TL Chatara,ZIM,2010-2022,38,38,140.0,1,1045,43,3/20,24.30,7.46,19.5,0,0
KD Mills,NZ,2005-2014,42,42,149.3,1,1228,43,3/26,28.55,8.21,20.8,0,0
WD Parnell,SA,2009-2022,43,42,136.5,3,1125,43,4/13,26.16,8.22,19.0,1,0
Haris Rauf,PAK,2020-2022,35,33,122.4,0,1044,42,4/22,24.85,8.51,17.5,1,0
Mashrafe Mortaza,BAN,2006-2017,54,53,189.5,1,1527,42,4/19,36.35,8.04,27.1,1,0
DM Nakrani,UGA,2019-2022,29,28,97.4,3,583,42,6/7,13.88,5.96,13.9,0,2
HH Pandya,INDIA,2016-2022,57,49,143.5,1,1200,42,4/38,28.57,8.34,20.5,1,0
KA Pollard,WI,2008-2022,101,63,142.4,0,1188,42,4/25,28.28,8.32,20.3,1,0
KW Richardson,AUS,2014-2022,33,33,115.0,0,938,42,4/30,22.33,8.15,16.4,1,0
LM Jongwe,ZIM,2015-2022,30,29,95.0,0,792,41,4/18,19.31,8.33,13.9,1,0
Kuldeep Yadav,INDIA,2017-2022,24,23,85.3,1,605,41,5/24,14.75,7.07,12.5,1,1
Simi Singh,IRE,2018-2022,47,47,149.5,0,1117,41,3/9,27.24,7.45,21.9,0,0
T van der Gugten,NED,2012-2021,40,39,121.5,0,879,41,3/9,21.43,7.21,17.8,0,0
KOK Williams,WI,2016-2020,26,26,91.5,2,805,41,4/28,19.63,8.76,13.4,1,0
A Bohara,NEPAL,2019-2022,36,35,118.2,0,804,40,4/35,20.10,6.79,17.7,1,0
Dawlat Zadran,AFG,2012-2019,34,34,123.3,2,980,40,4/44,24.50,7.93,18.5,1,0
AC Evans,SCOT,2015-2021,34,32,116.0,4,892,40,5/24,22.30,7.68,17.4,0,1
AL Phehlukwayo,SA,2017-2021,35,32,100.4,0,846,40,4/24,21.15,8.40,15.1,1,0
Zahoor Khan,UAE,2017-2022,32,32,112.1,1,752,40,4/29,18.80,6.70,16.8,1,0
JO Holder,WI,2014-2022,37,34,123.4,1,1008,39,5/27,25.84,8.15,19.0,2,1
AD Russell,WI,2011-2021,67,56,148.3,0,1364,39,3/43,34.97,9.18,22.8,0,0
BM Scholtz,NAM,2019-2022,35,35,114.4,0,676,39,4/12,17.33,5.89,17.6,1,0
N Vanua,PNG,2015-2022,35,30,99.4,3,693,39,5/17,17.76,6.95,15.3,1,1
Waseem Abbas,MLT,2019-2022,28,28,100.0,1,739,39,5/37,18.94,7.39,15.3,1,1
MG Johnson,AUS,2007-2013,30,30,109.2,2,797,38,3/15,20.97,7.28,17.2,0,0
AD Mathews,SL,2009-2021,78,61,171.3,4,1200,38,3/16,31.57,6.99,27.0,0,0
DL Vettori,NZ,2007-2014,34,34,131.1,1,748,38,4/20,19.68,5.70,20.7,1,0
D Wiese,NAM/SA,2013-2022,36,36,122.2,0,921,38,5/23,24.23,7.52,19.3,0,1
DJ Willey,ENG,2015-2021,32,32,106.5,0,854,38,4/7,22.47,7.99,16.8,1,0
J Botha,SA,2006-2012,40,39,129.0,1,823,37,3/16,22.24,6.37,20.9,0,0
Mahmudullah,BAN,2007-2022,115,68,138.3,2,997,37,3/10,26.94,7.19,22.4,0,0
Mohammad Naveed,UAE,2015-2019,31,31,114.4,5,729,37,3/14,19.70,6.35,18.5,0,0
CW Perchard,JER,2019-2022,24,22,80.5,0,450,37,5/17,12.16,5.56,13.1,2,1
Shapoor Zadran,AFG,2010-2020,36,36,115.5,3,907,37,3/40,24.51,7.83,18.7,0,0
Ahmed Raza,UAE,2014-2022,53,52,175.0,2,1150,36,5/19,31.94,6.57,29.1,0,1
Bilal Muhammad,MLT,2021-2022,27,27,102.2,3,667,36,4/10,18.52,6.51,17.0,2,0
JP Faulkner,AUS,2012-2017,24,24,85.5,0,684,36,5/27,19.00,7.96,14.3,0,1
GJ Maxwell,AUS,2012-2022,87,59,134.0,0,1001,36,3/10,27.80,7.47,22.3,0,0
L Ngidi,SA,2017-2021,23,23,78.5,0,706,36,4/19,19.61,8.95,13.1,1,0
AG Cremer,ZIM,2008-2018,29,28,95.0,1,660,35,3/11,18.85,6.94,16.2,0,0
AR Cusack,IRE,2008-2015,37,33,101.0,3,714,35,4/11,20.40,7.06,17.3,3,0
Faheem Ashraf,PAK,2017-2021,42,41,119.5,1,903,35,3/5,25.80,7.53,20.5,0,0
Hamid Hassan,AFG,2010-2021,25,25,90.4,2,580,35,4/22,16.57,6.39,15.5,1,0
NM Coulter-Nile,AUS,2013-2019,28,27,97.0,1,802,34,4/31,23.58,8.26,17.1,1,0
JH Davey,SCOT,2012-2021,28,27,98.5,0,791,34,4/18,23.26,8.00,17.4,2,0
CH Morris,SA,2012-2019,23,23,83.0,3,697,34,4/27,20.50,8.39,14.6,1,0
A Nehra,INDIA,2009-2017,27,27,98.0,2,758,34,3/19,22.29,7.73,17.2,0,0
Sompal Kami,NEPAL,2014-2022,37,37,119.1,2,839,34,3/20,24.67,7.04,21.0,0,0
Wahab Riaz,PAK,2008-2020,36,35,118.2,2,971,34,3/18,28.55,8.20,20.8,0,0
MM Ali,ENG,2014-2022,49,42,108.1,1,854,33,3/24,25.87,7.89,19.6,0,0
Amjad Javed,UAE,2014-2017,22,22,74.2,1,560,33,3/12,16.96,7.53,13.5,0,0
CB Mpofu,ZIM,2008-2020,32,32,115.4,0,1035,33,4/30,31.36,8.94,21.0,1,0
Pavandeep Singh,MAL,2019-2022,26,26,93.1,1,666,33,3/12,20.18,7.14,16.9,0,0
JE Taylor,WI,2006-2018,30,30,100.0,2,863,33,3/6,26.15,8.63,18.1,0,0
SN Thakur,INDIA,2018-2022,25,24,84.2,0,772,33,4/27,23.39,9.15,15.3,1,0
SC Williams,ZIM,2006-2021,50,47,143.0,0,1038,33,3/15,31.45,7.25,26.0,0,0
Aamir Kaleem,OMA,2015-2022,33,28,80.0,1,557,32,5/15,17.40,6.96,15.0,2,2
DT Johnston,IRE,2008-2013,30,28,99.0,5,636,32,4/22,19.87,6.42,18.5,1,0
AF Milne,NZ,2010-2021,31,31,108.5,2,854,32,4/37,26.68,7.84,20.4,1,0
Mujeeb Ur Rahman,AFG,2018-2022,23,23,87.0,0,532,32,5/20,16.62,6.11,16.3,1,1
CR Brathwaite,WI,2011-2019,41,39,118.1,1,1013,31,3/20,32.67,8.57,22.8,0,0
Karim Janat,AFG,2016-2022,36,35,108.1,0,884,31,5/11,28.51,8.17,20.9,0,1
JB Little,IRE,2016-2022,34,33,122.0,2,914,31,4/23,29.48,7.49,23.6,1,0
Mohammad Saifuddin,BAN,2017-2021,29,29,100.0,0,826,31,4/33,26.64,8.26,19.3,1,0
R Rampaul,WI,2007-2021,27,27,95.5,1,803,31,3/16,25.90,8.37,18.5,0,0
JJ Smit,NAM,2019-2022,29,24,85.0,1,576,31,6/10,18.58,6.77,16.4,0,1
Amir Hamza,AFG,2013-2021,33,33,111.0,2,752,30,3/39,25.06,6.77,22.2,0,0
DG Blampied,JER,2019-2022,26,26,86.4,1,574,30,4/20,19.13,6.62,17.3,1,0
BD Glover,NED,2019-2021,21,21,71.0,0,481,30,4/12,16.03,6.77,14.2,2,0
MJ McClenaghan,ICC/NZ,2012-2018,29,29,101.2,2,789,30,3/17,26.30,7.78,20.2,0,0
SVE Bharathi,GER,2020-2022,22,22,73.5,1,371,29,4/6,12.79,5.02,15.2,1,0
TK Curran,ENG,2017-2021,30,29,98.0,1,907,29,4/36,31.27,9.25,20.2,1,0
A Dananjaya,SL,2012-2021,31,31,110.5,1,909,28,3/36,32.46,8.20,23.7,0,0
RM Haq,SCOT,2007-2013,21,20,75.0,1,472,28,3/20,16.85,6.29,16.0,0,0
D Heyliger,CAN,2019-2022,22,22,72.4,0,488,28,5/16,17.42,6.71,15.5,2,1
KM Jarvis,ZIM,2011-2019,22,22,74.4,0,665,28,3/15,23.75,8.90,16.0,0,0
B Lee,AUS,2005-2012,25,25,90.5,0,714,28,3/23,25.50,7.86,19.4,0,0
Mohammed Nadeem,QAT,2019-2021,26,26,91.0,0,615,28,4/10,21.96,6.75,19.5,1,0
DP Nannes,AUS/NED,2009-2010,17,16,61.0,2,459,28,4/18,16.39,7.52,13.0,1,0
IK Pathan,INDIA,2006-2012,24,23,77.0,1,618,28,3/16,22.07,8.02,16.5,0,0
Rubel Hossain,BAN,2009-2021,28,27,96.3,0,912,28,3/31,32.57,9.45,20.6,0,0
Saad Bin Zafar,CAN,2019-2022,22,22,81.0,6,484,28,3/8,17.28,5.97,17.3,0,0
Samiullah Shinwari,AFG,2010-2020,64,38,105.4,0,688,28,5/13,24.57,6.51,22.6,1,1
Shoaib Malik,ICC/PAK,2006-2021,124,49,95.0,0,675,28,2/7,24.10,7.10,20.3,0,0
SW Tait,AUS,2007-2016,21,21,79.4,2,589,28,3/13,21.03,7.39,17.0,0,0
Yuvraj Singh,INDIA,2007-2017,58,31,70.4,0,499,28,3/17,17.82,7.06,15.1,0,0
HS Baidwan,CAN,2008-2013,17,17,53.5,1,411,27,4/19,15.22,7.63,11.9,1,0
RD Berrington,SCOT,2008-2021,74,40,85.2,0,647,27,3/17,23.96,7.58,18.9,0,0
RP Burl,ZIM,2018-2022,39,31,82.0,1,590,27,3/14,21.85,7.19,18.2,0,0
ST Finn,ENG,2011-2015,21,21,80.0,0,583,27,3/16,21.59,7.28,17.7,0,0
D Pretorius,SA,2017-2022,25,23,68.4,0,552,27,5/17,20.44,8.03,15.2,0,1
B Stanlake,AUS,2017-2019,19,19,70.0,2,544,27,4/8,20.14,7.77,15.5,1,0
I Udana,SL,2009-2021,35,32,105.1,1,915,27,3/11,33.88,8.70,23.3,0,0
KJ Abbott,SA,2013-2016,21,21,72.4,0,579,26,3/20,22.26,7.96,16.7,0,0
DL Chahar,INDIA,2018-2022,20,20,70.0,1,579,26,6/7,22.26,8.27,16.1,0,1
MA Leask,SCOT,2013-2021,43,32,84.3,0,677,26,3/20,26.03,8.01,19.5,0,0
WP Masakadza,ZIM,2015-2021,28,28,90.0,1,650,26,4/28,25.00,7.22,20.7,1,0
JA Morkel,SA,2005-2015,50,46,107.5,2,864,26,3/12,33.23,8.01,24.8,0,0
Muslim Yar,GER,2019-2022,22,22,72.0,1,452,26,3/18,17.38,6.27,16.6,0,0
Nasum Ahmed,BAN,2021-2022,20,20,64.3,3,416,26,4/10,16.00,6.44,14.8,3,0
NN Odhiambo,KENYA,2007-2021,35,31,88.1,1,688,26,5/20,26.46,7.80,20.3,0,1
D Ravu,PNG,2019-2021,20,19,52.1,0,324,26,5/15,12.46,6.21,12.0,1,1
MC Sorensen,IRE,2012-2016,26,22,65.0,2,471,26,3/17,18.11,7.24,15.0,0,0
P Utseya,ZIM,2006-2015,35,35,124.5,2,858,26,3/25,33.00,6.87,28.8,0,0
MA Wood,ENG,2015-2021,19,19,71.3,1,621,26,3/9,23.88,8.68,16.5,0,0
Zeeshan Maqsood,OMA,2015-2022,41,30,90.0,0,621,26,4/7,23.88,6.90,20.7,2,0
MA Baig,MWI,2019-2021,13,13,45.0,1,236,25,5/13,9.44,5.24,10.8,1,1
SE Bond,NZ,2005-2010,20,20,77.3,2,543,25,3/18,21.72,7.00,18.6,0,0
LH Ferguson,NZ,2017-2021,15,15,54.0,0,385,25,5/21,15.40,7.12,12.9,0,1
Harbhajan Singh,INDIA,2006-2016,28,27,102.0,5,633,25,4/12,25.32,6.20,24.4,1,0
BE Hendricks,SA,2014-2021,19,19,68.1,0,627,25,4/14,25.08,9.19,16.3,1,0
Mahedi Hasan,BAN,2018-2022,31,30,101.3,0,661,25,3/19,26.44,6.51,24.3,0,0
Mohammad Nawaz,3,2016-2021,30,30,97.0,1,694,25,2/11,27.76,7.15,23.2,0,0
B Muzarabani,ZIM,2018-2022,22,22,85.0,0,708,25,3/21,28.32,8.32,20.4,0,0
Nadeem Ahmed,HKG,2014-2017,24,24,82.3,3,546,25,4/21,21.84,6.61,19.8,1,0
E Otieno,KENYA,2012-2021,25,25,74.3,3,525,25,3/16,21.00,7.04,17.8,0,0
LE Plunkett,ENG,2006-2019,22,22,79.2,1,627,25,3/21,25.08,7.90,19.0,0,0
B Regmi,NEPAL,2014-2019,18,18,62.1,0,405,25,4/16,16.20,6.51,14.9,1,0
SMSM Senanayake,SL,2012-2016,24,23,81.0,0,549,25,4/46,21.96,6.77,19.4,1,0
Shoriful Islam,BAN,2021-2022,19,19,61.4,0,460,25,3/29,18.40,7.45,14.8,0,0
HR Walsh,USA/WI,2019-2022,31,25,78.5,0,619,25,3/23,24.76,7.85,18.9,0,0
Washington Sundar,INDIA,2017-2021,31,30,103.3,1,750,25,3/22,30.00,7.24,24.8,0,0
FA Allen,WI,2018-2022,34,29,86.5,1,646,24,2/18,26.91,7.43,21.7,0,0
MNM Aslam,KUW,2019-2021,15,14,47.0,3,299,24,4/5,12.45,6.36,11.7,2,0
TT Bresnan,ENG,2006-2014,34,34,110.3,1,887,24,3/10,36.95,8.02,27.6,0,0
Haseeb Amjad,HKG,2014-2016,18,18,61.2,3,453,24,4/16,18.87,7.38,15.3,1,0
Junaid Siddique,UAE,2019-2022,21,21,74.2,1,540,24,4/12,22.50,7.26,18.5,1,0
P Mishra,BUL,2019-2022,28,26,85.0,2,660,24,3/12,27.50,7.76,21.2,0,0
Mohammad Nadeem,OMA,2015-2022,30,30,91.3,0,644,24,4/23,26.83,7.03,22.8,1,0
N Nipiko,VAN,2019-2019,14,13,39.2,0,311,24,5/19,12.95,7.90,9.8,2,1
CO Obuya,KENYA,2007-2021,41,22,60.2,1,407,24,4/27,16.95,6.74,15.0,1,0
KMA Paul,WI,2018-2020,20,20,72.0,0,643,24,5/15,26.79,8.93,18.0,0,1
RJ Peterson,SA,2006-2014,21,19,59.5,1,451,24,3/28,18.79,7.53,14.9,0,0
VP Thamotharam,MLT,2020-2022,27,24,72.1,0,573,24,3/25,23.87,7.93,18.0,0,0
Usman Qadir,PAK,2020-2022,18,16,52.0,0,394,24,4/13,16.41,7.57,13.0,1,0
A Vala,PNG,2015-2022,36,22,55.5,1,358,24,3/7,14.91,6.41,13.9,0,0
CJA Amini,PNG,2015-2022,33,29,87.4,0,587,23,2/13,25.52,6.69,22.8,0,0
IG Butler,NZ,2009-2013,19,18,59.4,1,481,23,3/19,20.91,8.06,15.5,0,0
Fitri Sham,MAL,2019-2021,24,22,72.2,0,527,23,3/22,22.91,7.28,18.8,0,0
CBRLS Kumara,SL,2019-2022,19,18,66.4,1,564,23,3/7,24.52,8.46,17.3,0,0
S Muniandy,MAL,2019-2022,32,27,76.1,0,709,23,4/13,30.82,9.30,19.8,2,0
N Pokana,PNG,2016-2022,25,24,77.5,2,519,23,3/21,22.56,6.66,20.3,0,0
PADLR Sandakan,SL,2017-2021,20,20,76.4,1,557,23,4/23,24.21,7.26,20.0,1,0
RJ Sidebottom,ENG,2007-2010,18,18,61.1,0,437,23,3/16,19.00,7.14,15.9,0,0
CA Soper,PNG,2015-2022,22,21,65.0,0,430,23,3/13,18.69,6.61,16.9,0,0
Taskin Ahmed,BAN,2014-2021,33,31,104.4,2,812,23,2/12,35.30,7.75,27.3,0,0
Amar Sharma,MLT,2020-2022,28,27,95.3,0,744,22,3/23,33.81,7.79,26.0,0,0
Amjad Mahboob,SGP,2019-2020,14,14,45.4,1,363,22,3/20,16.50,7.94,12.4,0,0
Awais Malik,QAT,2019-2020,18,18,57.0,1,446,22,3/19,20.27,7.82,15.5,0,0
Ijaz Hussain,ROM,2019-2022,16,16,49.4,0,359,22,4/28,16.31,7.22,13.5,1,0
FJ Klaassen,NED,2018-2021,24,23,78.2,0,625,22,3/31,28.40,7.97,21.3,0,0
D Maisuria,BOT,2019-2021,10,9,33.0,1,172,22,4/13,7.81,5.21,9.0,2,0
EJB Miles,JER,2019-2022,20,20,60.0,0,380,22,3/10,17.27,6.33,16.3,0,0
Riazat Ali Shah,UGA,2019-2022,28,20,57.4,0,414,22,4/12,18.81,7.17,15.7,1,0
MN Samuels,WI,2007-2018,67,30,79.5,0,622,22,3/23,28.27,7.79,21.7,0,0
H Ssenyondo,UGA,2019-2022,26,24,79.5,1,443,22,4/14,20.13,5.54,21.7,1,0
V Vijh,LUX,2019-2022,17,15,48.2,0,381,22,4/19,17.31,7.88,13.1,1,0
AC Botha,IRE,2008-2010,14,10,34.0,0,184,21,3/14,8.76,5.41,9.7,0,0
JP Duminy,SA,2007-2019,81,41,77.1,0,599,21,3/18,28.52,7.76,22.0,0,0
Ehsan Khan,HKG,2016-2020,23,23,81.4,1,500,21,3/32,23.80,6.12,23.3,0,0
Fareed Ahmad,AFG,2016-2021,16,16,54.5,0,457,21,3/35,21.76,8.33,15.6,0,0
Ghulam Ahmadi,GER,2021-2022,23,23,87.1,7,432,21,4/5,20.57,4.95,24.9,1,0
Hamza Tahir,SCOT,2018-2021,13,13,51.0,1,411,21,4/30,19.57,8.05,14.5,1,0
AR McBrine,IRE,2014-2022,26,20,56.0,0,358,21,2/7,17.04,6.39,16.0,0,0
Mohammad Sami,PAK,2010-2016,13,13,46.0,0,387,21,3/16,18.42,8.41,13.1,0,0
JDS Neesham,NZ,2012-2021,38,29,63.3,0,586,21,3/16,27.90,9.22,18.1,0,0
A Nortje,SA,2019-2022,19,19,68.2,0,489,21,3/8,23.28,7.15,19.5,0,0
Sikandar Raza,ZIM,2013-2022,50,40,96.0,0,717,21,3/16,34.14,7.46,27.4,0,0
Sultan Ahmed,UAE,2017-2021,23,23,75.0,5,450,21,4/9,21.42,6.00,21.4,1,0
O Thomas,WI,2018-2021,20,19,64.0,1,602,21,5/28,28.66,9.40,18.2,0,1
Abdul Razzaq,PAK,2006-2013,32,22,56.3,2,395,20,3/13,19.75,6.99,16.9,0,0
P Aho,NGA,2021-2021,16,16,52.5,3,337,20,6/5,16.85,6.37,15.8,0,1
F Akankwasa,UGA,2020-2022,27,17,54.4,0,330,20,4/10,16.50,6.03,16.4,1,0
DAJ Bracewell,NZ,2011-2021,20,18,51.4,0,470,20,3/25,23.50,9.09,15.5,0,0
S Conteh,SLE,2021-2021,10,9,32.0,0,167,20,5/17,8.35,5.21,9.6,1,1
FH Edwards,WI,2007-2021,26,26,74.5,0,617,20,3/23,30.85,8.24,22.4,0,0
Fayyaz Butt,OMA,2019-2022,22,22,69.3,1,509,20,3/16,25.45,7.32,20.8,0,0
JEC Franklin,NZ,2006-2013,38,26,54.3,0,417,20,4/15,20.85,7.65,16.3,1,0
CH Gayle,WI,2006-2021,79,30,63.3,0,440,20,2/15,22.00,6.92,19.0,0,0
Gulbadin Naib,AFG,2012-2021,53,34,84.1,1,688,20,2/19,34.40,8.17,25.2,0,0
Khalid Ahmadi,Belg,2020-2022,12,12,43.2,1,235,20,4/5,11.75,5.42,13.0,2,0
H Lakov,BUL,2019-2022,24,23,85.5,3,683,20,2/8,34.15,7.95,25.7,0,0
BJ McCarthy,IRE,2017-2022,19,19,68.5,2,632,20,4/30,31.60,9.18,20.6,2,0
F Nsubuga,UGA,2019-2022,23,23,82.0,6,405,20,3/9,20.25,4.93,24.6,0,0
T Panyangara,ZIM,2013-2016,14,14,50.3,1,398,20,4/37,19.90,7.88,15.1,1,0
WA Peatfield,GUE,2019-2022,16,16,58.0,0,375,20,4/22,18.75,6.46,17.4,1,0
AM Phangiso,SA,2012-2018,16,16,57.0,0,443,20,3/25,22.15,7.77,17.1,0,0
Sami Sohail,MWI,2019-2021,13,13,42.5,3,270,20,4/18,13.50,6.30,12.8,1,0
Shafiul Islam,BAN,2010-2020,20,20,66.4,1,532,20,3/36,26.60,7.98,20.0,0,0
PR Stirling,IRE,2009-2022,102,42,91.0,1,679,20,3/21,33.95,7.46,27.3,0,0
