name,country,span,matches,innings,not_out,runs,highest_score,average,balls_faced,strike_rate,100s,50s,duck,4s,6s
HM Amla,SA/World,2009-2018,44,44,6,1277,97*,33.60,967,132.05,0,8,2,146,26
HG Munsey,SCOT,2015-2021,51,49,3,1270,127*,27.60,868,146.31,1,7,5,150,57
GC Wilson,IRE,2008-2020,81,68,8,1268,65*,21.13,1212,104.62,0,3,4,108,20
Najibullah Zadran,AFG,2012-2022,70,60,22,1259,73,33.13,898,140.20,0,6,2,85,66
DJ Bravo,WI,2006-2021,91,74,17,1255,66*,22.01,1091,115.03,0,4,5,73,55
Fakhar Zaman,PAK,2017-2022,65,59,3,1253,91,22.37,952,131.61,0,7,4,127,43
BN Cooper,NED,2013-2021,58,55,11,1239,91*,28.15,993,124.77,0,9,7,118,38
DJ Malan,ENG,2017-2021,36,35,5,1239,103*,41.30,903,137.20,1,11,0,128,41
NLTC Perera,ICC/SL/World,2010-2021,84,74,22,1204,61,23.15,794,151.63,0,3,8,88,64
N Pooran,WI,2016-2022,57,50,7,1193,70,27.74,925,128.97,0,8,2,86,69
JM Bairstow,ENG,2011-2021,63,57,12,1190,86*,26.44,876,135.84,0,7,5,111,49
Yuvraj Singh,INDIA,2007-2017,58,51,9,1177,77*,28.02,863,136.38,0,8,1,77,74
KP Pietersen,ENG,2005-2013,37,36,5,1176,79,37.93,831,141.51,0,7,1,119,32
MP O'Dowd,NED,2015-2021,43,42,3,1161,133*,29.76,935,124.17,1,8,0,117,27
CS MacLeod,SCOT,2009-2021,60,57,9,1157,74,24.10,1048,110.40,0,7,7,99,22
AD Mathews,SL,2009-2021,78,63,18,1148,81*,25.51,975,117.74,0,5,1,73,38
Soumya Sarkar,BAN,2015-2021,66,66,3,1136,68,18.03,930,122.15,0,5,10,113,43
WTS Porterfield,IRE,2008-2018,61,59,6,1079,72,20.35,971,111.12,0,3,5,120,23
LD Chandimal,SL,2010-2022,68,61,7,1062,66*,19.66,1025,103.60,0,6,0,90,22
RR Hendricks,SA,2014-2021,40,40,1,1049,74,26.89,863,121.55,0,7,2,120,17
SC Williams,ZIM,2006-2021,50,50,6,1034,66,23.50,821,125.94,0,7,4,97,29
DS Airee,NEPAL,2018-2022,39,34,8,1033,110*,39.73,775,133.29,1,5,0,83,32
Samiullah Shinwari,AFG,2010-2020,64,56,10,1013,61,22.02,858,118.06,0,2,2,76,37
Kamran Akmal,PAK,2006-2017,58,53,6,987,73,21.00,825,119.63,0,5,7,100,31
Rohan Mustafa,UAE,2014-2022,54,51,4,984,77,20.93,811,121.33,0,4,6,106,27
CL White,AUS,2007-2014,47,44,14,984,85*,32.80,740,132.97,0,5,3,71,44
GC Smith,SA,2005-2011,33,33,2,982,89*,31.67,770,127.53,0,5,1,123,26
Shaiman Anwar,UAE,2014-2019,32,32,3,971,117*,33.48,770,126.10,1,6,1,75,43
ADS Fletcher,WI,2008-2021,54,52,7,950,84*,21.11,853,111.37,0,6,7,66,51
MD Shanaka,SL,2015-2022,65,61,14,947,74*,20.14,826,114.64,0,3,7,66,45
MH Cross,SCOT,2013-2021,56,46,7,946,66*,24.25,815,116.07,0,5,5,90,25
Sabbir Rahman,BAN,2014-2019,44,43,5,946,80,24.89,783,120.81,0,4,2,89,28
TP Ura,PNG,2015-2022,32,32,6,946,107*,36.38,638,148.27,1,7,2,71,51
BRM Taylor,ZIM,2006-2021,45,45,6,934,75*,23.94,790,118.22,0,6,5,93,24
HE van der Dussen,SA,2018-2021,34,31,7,933,94*,38.87,713,130.85,0,6,1,55,40
G Gambhir,INDIA,2007-2012,37,36,2,932,75,27.41,783,119.02,0,7,2,109,10
MG Erasmus,NAM,2019-2022,38,36,9,927,100*,34.33,705,131.48,1,7,2,73,36
Liton Das,BAN,2015-2022,48,47,1,917,61,19.93,743,123.41,0,5,4,84,30
E Chigumbura,ZIM,2006-2020,57,56,9,893,54*,19.00,635,140.62,0,3,6,61,53
JE Root,ENG,2012-2019,32,30,5,893,90*,35.72,707,126.30,0,5,2,92,16
Muhammad Usman,UAE,2016-2022,47,43,6,891,89*,24.08,778,114.52,0,3,3,73,27
SPD Smith,AUS,2010-2022,54,43,9,886,90,26.05,707,125.31,0,4,1,73,21
MR Marsh,AUS,2011-2021,36,35,7,885,77*,31.60,708,125.00,0,6,1,70,35
Jatinder Singh,OMA,2015-2022,39,39,5,875,73*,25.73,768,113.93,0,4,2,87,14
CR Ervine,ZIM,2010-2022,38,37,3,865,68*,25.44,820,105.48,0,5,1,81,22
Syed Aziz,MAL,2019-2022,31,30,4,847,87,32.57,625,135.52,0,7,2,84,35
CO Obuya,KENYA,2007-2021,41,38,7,828,75*,26.70,785,105.47,0,4,3,58,23
Sarfaraz Ahmed,PAK,2010-2021,61,42,12,818,89*,27.26,653,125.26,0,3,2,79,15
SS Iyer,INDIA,2017-2022,36,32,10,809,74*,36.77,572,141.43,0,6,2,70,29
Mohammad Naim,BAN,2019-2022,34,34,1,809,81,24.51,780,103.71,0,4,2,75,17
CG Williams,NAM,2019-2022,35,33,4,805,81,27.75,713,112.90,0,6,3,69,23
Virandeep Singh,MAL,2019-2022,29,29,2,800,87,29.62,703,113.79,0,4,2,75,26
W Barresi,NED,2012-2019,42,41,6,799,75*,22.82,695,114.96,0,4,3,69,21
P Khadka,NEPAL,2014-2020,33,32,3,799,106*,27.55,624,128.04,1,4,3,82,26
MS Wade,AUS,2011-2022,60,45,9,789,80,21.91,610,129.34,0,3,1,57,32
Misbah-ul-Haq,PAK,2007-2012,39,34,13,788,87*,37.52,715,110.20,0,3,2,45,26
S Davizi,CZK-R,2019-2022,19,19,2,779,115*,45.82,522,149.23,2,4,1,83,29
R Satheesan,ROM,2019-2022,23,21,4,775,92*,45.58,420,184.52,0,7,1,83,39
Zeeshan Maqsood,OMA,2015-2022,41,34,6,770,76*,27.50,691,111.43,0,3,2,86,20
SJ Myburgh,NED,2012-2021,35,34,2,763,71*,23.84,656,116.31,0,5,6,85,22
LJ Wright,ENG,2007-2014,51,45,5,759,99*,18.97,554,137.00,0,4,9,68,31
DJ Hussey,AUS,2008-2012,39,36,3,756,88*,22.90,623,121.34,0,3,4,41,34
TL Seifert,NZ,2018-2021,40,37,5,753,84*,23.53,580,129.82,0,5,2,63,37
NS Dhaliwal,CAN,2019-2022,23,22,5,748,69*,44.00,556,134.53,0,6,0,56,36
G Malla,NEPAL,2014-2022,40,34,1,748,107,22.66,608,123.02,1,1,1,64,33
AD Russell,WI,2011-2021,67,57,19,741,51,19.50,475,156.00,0,1,9,42,62
Nizakat Khan,HKG,2014-2020,43,41,0,729,62,17.78,583,125.04,0,2,5,68,24
Hazratullah Zazai,AFG,2016-2022,22,22,2,727,162*,36.35,500,145.40,1,3,2,61,51
J Charles,WI,2011-2016,34,33,0,724,84,21.93,595,121.68,0,4,4,84,26
AA Obanda,KENYA,2007-2021,42,39,4,724,103*,20.68,590,122.71,1,1,5,90,23
MEK Hussey,AUS,2005-2012,38,30,11,721,60*,37.94,529,136.29,0,4,1,58,25
RS Bopara,ENG,2008-2014,38,35,10,711,65*,28.44,599,118.69,0,3,0,54,17
MK Pandey,INDIA,2015-2020,39,33,17,709,79*,44.31,562,126.15,0,3,2,49,19
CK Kapugedera,SL,2006-2017,43,38,7,703,50,22.67,591,118.95,0,1,0,58,25
A Vala,PNG,2015-2022,36,34,5,697,74*,24.03,625,111.52,0,5,0,65,18
GJ Delany,IRE,2019-2022,37,35,6,694,89*,23.93,510,136.07,0,3,0,55,31
RR Pant,INDIA,2017-2022,43,37,9,683,65*,24.39,543,125.78,0,3,3,51,29
Muhammad Tanveer,QAT,2019-2021,26,26,6,681,64,34.05,526,129.46,0,6,1,56,33
Kamran Khan,QAT,2019-2021,25,25,1,674,88,28.08,509,132.41,0,5,1,55,40
RR Patel,KENYA,2008-2021,36,31,7,672,62*,28.00,508,132.28,0,4,1,45,41
CJ Chibhabha,ZIM,2006-2020,36,35,0,667,67,19.05,609,109.52,0,5,4,78,13
SO Hetmyer,WI,2018-2021,42,35,4,666,81*,21.48,561,118.71,0,3,3,43,32
JH Kallis,SA,2005-2012,25,23,4,666,73,35.05,558,119.35,0,5,0,56,20
SJ Baard,NAM,2019-2022,25,25,3,665,92,30.22,580,114.65,0,5,1,58,18
Chirag Suri,UAE,2018-2022,24,24,3,655,84*,31.19,566,115.72,0,6,1,62,16
R Sandaruwan,KUW,2019-2021,19,19,2,655,103,38.52,409,160.14,1,4,3,62,37
Ahmed Faiz,MAL,2019-2022,26,24,1,646,63,28.08,551,117.24,0,3,1,59,18
GD Phillips,NZ,2017-2021,35,30,5,645,108,25.80,460,140.21,1,2,2,43,37
DJM Short,AUS,2018-2020,23,23,2,642,76,30.57,540,118.88,0,4,1,71,15
PW Borren,NED,2008-2017,43,38,5,638,57,19.33,524,121.75,0,1,2,60,18
BKG Mendis,SL,2016-2022,32,32,1,638,79,20.58,513,124.36,0,6,3,50,26
MM Ali,ENG,2014-2022,49,44,10,637,72*,18.73,465,136.98,0,4,8,50,32
D Ramdin,WI,2006-2019,71,50,16,636,55*,18.70,551,115.42,0,1,3,51,19
MD Gunathilaka,SL,2016-2022,36,35,0,633,57,18.08,525,120.57,0,3,2,66,17
Taranjeet Singh,ROM,2021-2022,14,14,2,633,110,52.75,347,182.42,1,5,1,79,30
ST Jayasuriya,SL,2006-2011,31,30,3,629,88,23.29,487,129.15,0,4,4,76,23
B Arora,MLT,2019-2022,26,26,4,628,66*,28.54,659,95.29,0,3,1,64,13
Khawar Ali,OMA,2015-2022,41,35,3,626,72*,19.56,635,98.58,0,2,2,67,15
JW Jenner,JER,2019-2022,26,26,4,623,96*,28.31,523,119.12,0,5,2,46,20
MR Swart,NED,2012-2016,26,25,2,621,89,27.00,537,115.64,0,4,1,53,16
MS Chapman,HKG/NZ,2014-2021,33,31,4,619,63*,22.92,525,117.90,0,2,1,53,17
H Lakov,BUL,2019-2022,24,24,5,619,80,32.57,574,107.83,0,6,0,49,5
R Powell,WI,2017-2022,39,31,6,619,107,24.76,446,138.78,1,3,2,41,37
MN Waller,ZIM,2011-2018,32,31,8,613,68,26.65,443,138.37,0,1,2,42,28
W Madhevere,ZIM,2020-2022,26,26,2,611,73*,25.45,495,123.43,0,6,3,68,9
DP Conway,NZ,2020-2021,20,17,5,602,99*,50.16,432,139.35,0,4,0,62,15
Sikandar Raza,ZIM,2013-2022,47,44,1,599,59,13.93,567,105.64,0,1,2,50,12
Usman Ghani,AFG,2015-2022,24,24,2,598,73,27.18,544,109.92,0,3,0,60,16
BA Pai,GIBR,2019-2022,15,15,3,595,107*,49.58,472,126.05,1,4,0,54,11
Salman Butt,PAK,2007-2010,24,23,2,595,74,28.33,551,107.98,0,3,1,66,10
S Ssesazi,UGA,2021-2022,19,19,2,595,63,35.00,535,111.21,0,6,1,60,18
PM Seelaar,NED,2008-2021,77,46,12,591,96*,17.38,532,111.09,0,1,1,43,12
CJA Amini,PNG,2015-2022,33,28,4,590,62,24.58,495,119.19,0,3,2,44,16
AK Markram,SA,2019-2021,20,18,3,588,70,39.20,400,147.00,0,6,1,45,28
DJG Sammy,WI/World,2007-2017,68,52,18,587,42*,17.26,398,147.48,0,0,3,45,31
PD Collingwood,ENG/World,2005-2017,36,33,2,583,79,18.80,459,127.01,0,3,3,37,24
DR Smith,WI,2006-2015,33,32,0,582,72,18.18,474,122.78,0,3,1,62,31
RP Burl,ZIM,2018-2022,36,32,12,580,57*,29.00,493,117.64,0,1,0,32,26
SB Styris,NZ,2005-2010,31,29,2,578,66,21.40,483,119.66,0,1,0,40,25
K Bhurtel,NEPAL,2021-2022,16,16,4,573,104*,47.75,443,129.34,1,5,0,58,21
JA Morkel,SA,2005-2015,50,38,11,572,43,21.18,402,142.28,0,0,1,29,39
Sarfaraz Ali,BHR,2019-2022,17,17,1,569,69*,35.56,338,168.34,0,4,0,49,43
IA De Silva,BUL,2020-2022,24,23,1,567,100*,25.77,481,117.87,1,2,2,50,26
Riazat Ali Shah,UGA,2019-2022,28,23,6,567,59,33.35,421,134.67,0,3,1,38,30
IA Karim,KENYA,2013-2021,29,28,6,566,71*,25.72,563,100.53,0,5,2,54,6
MP Stoinis,AUS,2015-2022,41,33,13,565,78,28.25,405,139.50,0,1,2,55,19
Gulbadin Naib,AFG,2012-2021,53,43,13,564,56*,18.80,472,119.49,0,1,3,42,25
P Nissanka,SL,2021-2022,20,19,0,562,75,29.57,481,116.83,0,5,2,57,10
S Bau,PNG,2016-2022,33,26,4,559,59,25.40,511,109.39,0,1,2,34,21
TH David,SGP,2019-2020,14,14,2,558,92*,46.50,352,158.52,0,4,0,50,26
HH Pandya,INDIA,2016-2021,54,36,9,553,42*,20.48,378,146.29,0,0,2,34,32
MJ Lumb,ENG,2010-2014,27,27,1,552,63,21.23,413,133.65,0,3,1,64,21
Babar Hayat,HKG,2014-2017,24,24,4,541,122,27.05,433,124.94,1,2,2,45,20
HT Tector,IRE,2019-2022,32,29,6,540,60,23.47,422,127.96,0,2,1,37,16
Karim Sadiq,AFG,2010-2018,36,36,0,538,72,14.94,493,109.12,0,1,4,61,10
Afif Hossain,BAN,2018-2022,41,36,4,535,52,16.71,461,116.05,0,1,5,41,19
Rahmanullah Gurbaz,AFG,2019-2022,20,20,0,534,87,26.70,388,137.62,0,3,3,39,35
RN ten Doeschate,NED,2008-2021,24,23,10,533,59,41.00,401,132.91,0,3,2,27,19
S Wickramasekara,CZK-R,2019-2022,22,21,3,527,104*,29.27,330,159.69,1,4,1,41,36
C Kieswetter,ENG,2010-2012,25,25,1,526,63,21.91,470,111.91,0,3,2,47,23
JJ Smit,NAM,2019-2022,29,24,8,525,71,32.81,359,146.23,0,2,1,29,32
F Behardien,SA,2012-2018,38,30,14,518,64*,32.37,404,128.21,0,1,1,37,16
V Sibanda,ZIM,2007-2016,26,26,1,511,59,20.44,503,101.59,0,1,3,52,11
VP Thamotharam,MLT,2020-2022,24,24,4,508,104*,25.40,355,143.09,1,1,1,40,27
Muhammad Waseem,UAE,2021-2022,12,12,1,506,112,46.00,330,153.33,2,3,1,40,32
Noor Ali Zadran,AFG,2010-2017,20,20,1,506,63,26.63,497,101.81,0,3,1,45,6
N Vanua,PNG,2015-2022,35,31,9,506,54,23.00,336,150.59,0,2,6,23,35
C de Grandhomme,NZ,2012-2021,41,39,7,505,59,15.78,365,138.35,0,3,6,27,30
Nawroz Mangal,AFG,2010-2017,32,32,4,505,65*,18.03,453,111.47,0,2,4,42,19
KD Shah,HKG,2014-2020,35,31,5,502,79,19.30,456,110.08,0,3,5,44,12
Aqib Ilyas,OMA,2015-2021,25,25,5,501,60,25.05,440,113.86,0,3,1,56,10
T Bavuma,SA,2019-2021,21,20,2,501,72,27.83,407,123.09,0,1,2,43,12
Imran Nazir,PAK,2007-2012,25,24,1,500,72,21.73,370,135.13,0,3,2,59,22
TP Visee,NED,2015-2021,31,31,0,496,78,16.00,339,146.31,0,3,5,68,17
Shafiqullah,AFG,2010-2019,46,42,12,494,51*,16.46,340,145.29,0,1,5,35,31
S Adedeji,NGA,2019-2021,24,24,4,492,68,24.60,553,88.96,0,3,2,39,14
HS Gericke,MLT,2020-2022,18,17,0,490,91,28.82,296,165.54,0,4,0,42,20
MJ Clarke,AUS,2005-2010,34,28,5,488,67,21.21,473,103.17,0,1,2,29,10
CJ Anderson,NZ,2012-2018,31,24,4,485,94*,24.25,351,138.17,0,2,3,30,26
N Dickwella,SL,2016-2021,28,27,1,480,68,18.46,366,131.14,0,1,2,61,9
SW Billings,ENG/ICC,2015-2022,37,33,5,478,87,17.07,368,129.89,0,2,1,41,16
L Bruce,GIBR,2021-2022,15,15,2,476,99*,36.61,394,120.81,0,6,2,39,6
DM Nakrani,UGA,2019-2022,29,25,10,476,77*,31.73,329,144.68,0,2,1,37,30
JDP Oram,NZ,2005-2012,36,30,7,474,66*,20.60,339,139.82,0,2,3,38,22
GJ Bailey,AUS/World,2012-2017,30,26,7,473,63,24.89,346,136.70,0,2,1,37,20
VB Chikkannaiah,GER,2019-2022,22,22,2,468,81*,23.40,488,95.90,0,4,1,35,11
NJ O'Brien,IRE,2008-2016,30,28,2,466,50,17.92,475,98.10,0,1,0,40,7
JEC Franklin,NZ,2006-2013,38,31,8,463,60,20.13,391,118.41,0,2,2,28,23
R Pathan,CAN,2021-2022,11,11,2,463,107*,51.44,287,161.32,1,3,1,48,21
JM Vince,ENG,2015-2022,17,17,0,463,59,27.23,361,128.25,0,2,0,47,14
RE van der Merwe,NED/SA,2009-2021,46,32,12,460,75*,23.00,353,130.31,0,2,6,37,13
RW Chakabva,ZIM,2008-2022,31,31,2,457,48,15.75,364,125.54,0,0,7,31,21
JD Ryder,NZ,2008-2014,22,21,1,457,62,22.85,358,127.65,0,3,2,47,18
Ravinderpal Singh,CAN,2019-2022,22,18,3,456,101,30.40,331,137.76,1,1,1,31,23
Saud Islam,UGA,2021-2021,20,19,2,452,75,26.58,426,106.10,0,3,4,43,9
Mohammad Ashraful,BAN,2007-2013,23,23,0,450,65,19.56,356,126.40,0,2,2,48,11
H Klaasen,SA,2018-2021,28,25,5,449,69,22.45,316,142.08,0,3,1,32,21
Rameez Shahzad,UAE,2016-2019,22,21,3,449,54,24.94,404,111.13,0,1,2,37,13
GH Dockrell,IRE,2010-2022,93,49,19,445,34*,14.83,365,121.91,0,0,4,25,15
HAM Shah,DEN,2019-2022,15,14,0,445,99,31.78,392,113.52,0,3,0,43,8
Aasif Sheikh,NEPAL,2021-2022,18,18,1,444,57,26.11,355,125.07,0,2,3,42,17
BA Stokes,ENG,2011-2021,34,28,6,442,47*,20.09,323,136.84,0,0,1,34,20
Younis Khan,PAK,2006-2010,25,23,3,442,51,22.10,364,121.42,0,2,2,31,12
S Chandramohan,SGP,2019-2020,15,15,1,436,66,31.14,366,119.12,0,3,3,44,16
Yasir Ali,ESP,2019-2022,18,18,5,436,80*,33.53,418,104.30,0,2,2,29,17
Asif Ali,PAK,2018-2022,39,35,10,435,41*,17.40,325,133.84,0,0,2,18,29
NR Kumar,CAN,2012-2019,18,16,2,434,83,31.00,336,129.16,0,3,1,34,13
SA Edwards,NED,2018-2021,36,29,9,431,42*,21.55,318,135.53,0,0,2,42,9
DMW Rawlins,BMUDA,2019-2021,17,17,1,430,63,26.87,311,138.26,0,2,1,33,25
MA Leask,SCOT,2013-2021,43,33,4,428,58,14.75,330,129.69,0,1,4,29,22
A Ashokan,CZK-R,2019-2022,19,18,3,424,55*,28.26,361,117.45,0,3,0,21,17
PL Mommsen,SCOT,2012-2016,24,19,7,419,68*,34.91,329,127.35,0,2,1,32,11
KIC Asalanka,SL,2021-2022,17,17,2,418,80*,27.86,336,124.40,0,3,1,39,14
V Aravind,UAE,2020-2022,17,13,2,417,97*,37.90,304,137.17,0,3,1,39,15
JDS Neesham,NZ,2012-2021,38,29,10,416,48*,21.89,274,151.82,0,0,2,31,25
DM de Silva,SL,2015-2021,23,22,2,412,62,20.60,380,108.42,0,2,0,32,6
BA King,WI,2019-2022,21,20,1,412,67,21.68,333,123.72,0,2,2,48,13
MW Machan,SCOT,2013-2016,13,13,3,407,67*,40.70,318,127.98,0,3,0,37,7
WU Tharanga,SL,2006-2018,26,26,1,407,47,16.28,330,123.33,0,0,3,42,12
KC D'Souza,BUL,2020-2022,24,22,7,406,46,27.06,278,146.04,0,0,2,31,20
Haider Ali,PAK,2020-2021,21,19,2,406,68,23.88,316,128.48,0,3,1,36,18
Sharjeel Khan,PAK,2013-2021,21,18,0,406,59,22.55,305,133.11,0,2,0,53,15
DM Bravo,WI,2010-2022,26,22,3,405,43*,21.31,379,106.86,0,0,3,32,14
EC Joyce,ENG/IRE,2006-2014,18,15,3,405,78*,33.75,431,93.96,0,1,0,30,5
TLW Cooper,NED,2012-2016,18,17,3,404,72*,28.85,306,132.02,0,2,2,38,16
LJ Tucker,IRE,2016-2022,30,26,3,403,84,17.52,348,115.80,0,2,2,35,7
BJ Haddin,AUS,2006-2014,34,29,6,402,47,17.47,351,114.52,0,0,2,30,13
RT Ponting,AUS,2005-2009,17,16,2,401,98*,28.64,302,132.78,0,2,2,41,11
HH Gibbs,SA,2005-2010,23,23,1,400,90*,18.18,318,125.78,0,3,4,45,12
KD Karthik,ICC/INDIA,2006-2019,32,26,14,399,48,33.25,278,143.52,0,0,2,42,15
F Damiao Couana,MOZ,2019-2021,11,11,1,395,104,39.50,279,141.57,1,1,0,31,23
Hussain Talat,PAK,2018-2021,18,18,2,394,63,24.62,333,118.31,0,2,1,37,5
V Sehwag,INDIA,2006-2012,19,18,0,394,68,21.88,271,145.38,0,2,1,43,16
Abdul Razzaq,PAK,2006-2013,32,29,10,393,46*,20.68,337,116.61,0,0,2,21,21
DJ Mitchell,NZ,2019-2021,25,23,5,392,72*,21.77,291,134.70,0,1,1,32,14
Saber Zakhil,Belg,2019-2021,15,14,3,391,100*,35.54,229,170.74,1,1,2,20,30
Mohammed Rizlan,QAT,2019-2021,26,22,7,389,62,25.93,375,103.73,0,1,1,26,16
Rizwan Cheema,CAN,2008-2019,24,24,2,389,72,17.68,314,123.88,0,2,5,33,28
D Wiese,NAM/SA,2013-2022,36,27,9,387,66*,21.50,318,121.69,0,1,2,24,15
Tamoor Sajjad,QAT,2019-2020,16,15,4,380,68,34.54,280,135.71,0,1,1,31,15
R Mutumbami,ZIM,2015-2022,29,26,4,379,54,17.22,323,117.33,0,1,2,24,18
JP Kotze,NAM,2019-2022,18,18,1,377,101*,22.17,306,123.20,1,0,1,31,21
Mashrafe Mortaza,BAN,2006-2017,54,39,11,377,36,13.46,277,136.10,0,0,6,28,23
AM Rahane,INDIA,2011-2016,20,20,2,375,61,20.83,331,113.29,0,1,2,32,6
H Singh,GER,2019-2021,23,22,5,375,68*,22.05,310,120.96,0,1,1,36,5
J Rasu,VAN,2019-2019,13,13,0,374,74,28.76,338,110.65,0,2,0,27,16
Nasir Hossain,BAN,2011-2016,31,24,4,370,50*,18.50,326,113.49,0,2,2,30,7
J Butler,GUE,2019-2022,17,16,2,367,65*,26.21,392,93.62,0,1,0,37,2
Aamir Kaleem,OMA,2015-2022,33,25,4,366,46*,17.42,340,107.64,0,0,5,30,10
Aizaz Khan,HKG,2014-2020,39,34,8,364,44,14.00,336,108.33,0,0,4,26,6
