name,country,average,strike_rate,economy,balls_bolwed_per_innings,wicket_index,big_impact_index,short_impact_index,runs_index,prelim_metric,pre-rank
PM Seelaar,NED,22.24,19.5,6.83,17.662,0.906,0.016,0.857,20.156,25.317,Best
T Shamsi,SA,21.81,18.9,6.91,21.96,1.16,0.04,1.042,25.3,25.118,Best
Karan KC,NEPAL,16.87,13.4,7.53,20.116,1.5,0.079,1.257,25.316,21.172,Best
S Badree,WI,21.07,20.4,6.17,22.038,1.077,0.019,1.02,22.692,21.667,Best
MRJ Watt,SCOT,20.78,17.8,6.97,22.267,1.244,0.022,1.159,25.867,24.139,Best
Imad Wasim,PAK,23.49,22.2,6.33,21.474,0.965,0.035,0.836,22.667,24.782,Best
WB Rankin,ENG/IRE,22.16,19.4,6.84,21.796,1.122,0,1.122,24.878,25.262,Best
Sohail Tanvir,PAK,26.92,22.4,7.18,21.284,0.947,0,0.947,25.509,32.214,Good
RE van der Merwe,NED/SA,18.42,17.2,6.41,21.15,1.227,0.023,1.163,22.614,19.679,Best
SP Narine,WI,21.25,21.1,6.01,22.457,1.061,0.02,1,22.551,21.285,Best
JN Frylinck,NAM,15.05,13.6,6.62,20.471,1.5,0.059,1.281,22.588,16.605,Best
NLTC Perera,SL,33.66,21.6,9.34,16.424,0.761,0,0.761,25.627,52.397,Average
K Rabada,SA,26,18.4,8.43,21.921,1.186,0,1.186,30.837,36.53,Good
GP Swann,ENG,16.84,15.8,6.36,21.316,1.342,0,1.342,22.605,17.85,Best
SO Ngoche,KENYA,18.42,17,6.49,20.85,1.225,0.05,1.079,22.575,19.924,Best
PVD Chameera,SL,30.27,22.3,8.14,21.396,0.96,0.02,0.898,29.06,41.066,Average
SS Cottrell,WI,23.14,17.7,7.81,21.315,1.2,0.025,1.128,27.775,30.121,Good
RA Jadeja,INDIA,27.45,23.3,7.04,20.046,0.857,0,0.857,23.536,32.208,Good
PA van Meekeren,NED,22.52,18.7,7.19,20.468,1.091,0.045,0.952,24.568,26.986,Best
SR Watson,AUS,24.72,19.3,7.65,18.98,0.98,0.02,0.917,24.224,31.518,Good
CA Young,IRE,25.25,19.4,7.79,20.257,1.043,0.043,0.909,26.348,32.783,Good
AC Agar,AUS,22.29,20.6,6.48,21.052,1.022,0.043,0.818,22.783,24.073,Best
M Morkel,SA,25.34,20.2,7.5,21.6,1.068,0.045,0.929,27.068,31.675,Good
Shaheen Shah Afridi,PAK,24.31,18.8,7.75,22.08,1.175,0,1.175,28.575,31.4,Good
AJ Tye,AUS,21.21,14.5,8.75,21.968,1.516,0.032,1.433,32.161,30.931,Good
Aizaz Khan,HKG,20.28,17.3,6.99,20.492,1.179,0,1.179,23.923,23.626,Best
JR Hazlewood,AUS,18.02,14.9,7.22,22.88,1.533,0.133,1.154,27.633,21.684,Best
Khawar Ali,OMA,17.17,15.5,6.62,18.338,1.179,0.077,0.944,20.256,18.944,Best
Iqbal Hussain,QAT,15.4,12.5,7.37,21.692,1.731,0.077,1.542,26.654,18.916,Best
Abdur Razzak,BAN,19.04,16.5,6.88,22.073,1.333,0.03,1.25,25.394,21.833,Best
Ahsan Malik,NED,16.59,13,7.61,19.759,1.517,0.069,1.296,25.172,21.042,Best
PJ Cummins,AUS,22.77,19.3,7.05,21.846,1.128,0,1.128,25.692,26.755,Best
JW Dernbach,ENG/ITA,26.59,18.7,8.49,21.138,1.128,0.026,1.053,30,37.625,Good
DJG Sammy,WI,25.36,20.8,7.31,15.498,0.746,0.034,0.614,18.915,30.897,Good
Al-Amin Hossain,BAN,16.97,14.2,7.13,21.145,1.483,0,1.483,25.172,20.166,Best
TL Chatara,ZIM,24.3,19.5,7.46,22.105,1.132,0,1.132,27.5,30.213,Good
KD Mills,NZ,28.55,20.8,8.21,21.329,1.024,0,1.024,29.238,39.066,Good
Haris Rauf,PAK,24.85,17.5,8.51,22.255,1.273,0.03,1.188,31.636,35.246,Good
Mashrafe Mortaza,BAN,36.35,27.1,8.04,21.453,0.792,0.019,0.731,28.811,48.709,Average
DM Nakrani,UGA,13.88,13.9,5.96,20.871,1.5,0.071,1.192,20.821,13.787,Best
HH Pandya,INDIA,28.57,20.5,8.34,17.571,0.857,0.02,0.792,24.49,39.712,Good
KA Pollard,WI,28.28,20.3,8.32,13.562,0.667,0.016,0.613,18.857,39.215,Good
KW Richardson,AUS,22.33,16.4,8.15,20.909,1.273,0.03,1.188,28.424,30.332,Good
LM Jongwe,ZIM,19.31,13.9,8.33,19.655,1.414,0.034,1.321,27.31,26.809,Best
Kuldeep Yadav,INDIA,14.75,12.5,7.07,22.252,1.783,0.087,1.524,26.304,17.38,Best
Simi Singh,IRE,27.24,21.9,7.45,19.085,0.872,0,0.872,23.766,33.823,Good
T van der Gugten,NED,21.43,17.8,7.21,18.692,1.051,0,1.051,22.538,25.752,Best
KOK Williams,WI,19.63,13.4,8.76,21.115,1.577,0.038,1.48,30.962,28.66,Best
A Bohara,NEPAL,20.1,17.7,6.79,20.263,1.143,0.029,1.059,22.971,22.746,Best
Dawlat Zadran,AFG,24.5,18.5,7.93,21.759,1.176,0.029,1.091,28.824,32.381,Good
AC Evans,SCOT,22.3,17.4,7.68,21.75,1.25,0.031,1.129,27.875,28.544,Best
Zahoor Khan,UAE,18.8,16.8,6.7,21.019,1.25,0.031,1.161,23.5,20.993,Best
JO Holder,WI,25.84,19,8.15,21.776,1.147,0.088,0.839,29.647,35.099,Good
AD Russell,WI,34.97,22.8,9.18,15.889,0.696,0,0.696,24.357,53.504,Average
BM Scholtz,NAM,17.33,17.6,5.89,19.611,1.114,0.029,1.029,19.314,17.012,Best
N Vanua,PNG,17.76,15.3,6.95,19.88,1.3,0.067,1.071,23.1,20.572,Best
MG Johnson,AUS,20.97,17.2,7.28,21.84,1.267,0,1.267,26.567,25.444,Best
DL Vettori,NZ,19.68,20.7,5.7,23.135,1.118,0.029,1.03,22,18.696,Best
D Wiese,NAM/SA,24.23,19.3,7.52,20.367,1.056,0.028,0.943,25.583,30.368,Good
DJ Willey,ENG,22.47,16.8,7.99,19.969,1.188,0.031,1.097,26.688,29.923,Best
Mahmudullah,BAN,26.94,22.4,7.19,12.203,0.544,0,0.544,14.662,32.283,Good
Mohammad Naveed,UAE,19.7,18.5,6.35,22.142,1.194,0,1.194,23.516,20.849,Best
CW Perchard,JER,12.16,13.1,5.56,21.955,1.682,0.136,1.263,20.455,11.268,Best
Shapoor Zadran,AFG,24.51,18.7,7.83,19.25,1.028,0,1.028,25.194,31.986,Good
Ahmed Raza,UAE,31.94,29.1,6.57,20.192,0.692,0.019,0.608,22.115,34.974,Good
Bilal Muhammad,MLT,18.52,17,6.51,22.711,1.333,0.074,1.12,24.704,20.094,Best
JP Faulkner,AUS,19,14.3,7.96,21.375,1.5,0.042,1.348,28.5,25.207,Best
GJ Maxwell,AUS,27.8,22.3,7.47,13.627,0.61,0,0.61,16.966,34.611,Good
AG Cremer,ZIM,18.85,16.2,6.94,20.357,1.25,0,1.25,23.571,21.803,Best
AR Cusack,IRE,20.4,17.3,7.06,18.364,1.061,0.091,0.767,21.636,24.004,Best
Faheem Ashraf,PAK,25.8,20.5,7.53,17.488,0.854,0,0.854,22.024,32.379,Good
Hamid Hassan,AFG,16.57,15.5,6.39,21.696,1.4,0.04,1.292,23.2,17.647,Best
NM Coulter-Nile,AUS,23.58,17.1,8.26,21.556,1.259,0.037,1.154,29.704,32.462,Good
JH Davey,SCOT,23.26,17.4,8,21.889,1.259,0.074,1.04,29.296,31.013,Good
CH Morris,SA,20.5,14.6,8.39,21.652,1.478,0.043,1.364,30.304,28.666,Best
A Nehra,INDIA,22.29,17.2,7.73,21.778,1.259,0,1.259,28.074,28.717,Best
Sompal Kami,NEPAL,24.67,21,7.04,19.314,0.919,0,0.919,22.676,28.946,Best
Wahab Riaz,PAK,28.55,20.8,8.2,20.263,0.971,0,0.971,27.743,39.018,Good
MM Ali,ENG,25.87,19.6,7.89,15.443,0.786,0,0.786,20.333,34.019,Good
Amjad Javed,UAE,16.96,13.5,7.53,20.236,1.5,0,1.5,25.455,21.285,Best
CB Mpofu,ZIM,31.36,21,8.94,21.638,1.031,0.031,0.935,32.344,46.726,Average
Pavandeep Singh,MAL,20.18,16.9,7.14,21.485,1.269,0,1.269,25.615,24.014,Best
JE Taylor,WI,26.15,18.1,8.63,20,1.1,0,1.1,28.767,37.612,Good
SN Thakur,INDIA,23.39,15.3,9.15,21.05,1.375,0.042,1.261,32.167,35.67,Good
SC Williams,ZIM,31.45,26,7.25,18.255,0.702,0,0.702,22.085,38.002,Good
Aamir Kaleem,OMA,17.4,15,6.96,17.143,1.143,0.143,0.583,19.893,20.184,Best
AF Milne,NZ,26.68,20.4,7.84,21,1.032,0.032,0.933,27.548,34.862,Good
Mujeeb Ur Rahman,AFG,16.62,16.3,6.11,22.696,1.391,0.087,1.095,23.13,16.925,Best
CR Brathwaite,WI,32.67,22.8,8.57,18.169,0.795,0,0.795,25.974,46.664,Average
Karim Janat,AFG,28.51,20.9,8.17,18.531,0.886,0.029,0.765,25.257,38.821,Good
JB Little,IRE,29.48,23.6,7.49,22.182,0.939,0.03,0.844,27.697,36.801,Good
Mohammad Saifuddin,BAN,26.64,19.3,8.26,20.69,1.069,0.034,0.964,28.483,36.674,Good
R Rampaul,WI,25.9,18.5,8.37,21.222,1.148,0,1.148,29.741,36.13,Good
JJ Smit,NAM,18.58,16.4,6.77,21.25,1.292,0.042,1.087,24,20.964,Best
DG Blampied,JER,19.13,17.3,6.62,19.938,1.154,0.038,1.04,22.077,21.107,Best
BD Glover,NED,16.03,14.2,6.77,20.286,1.429,0.095,1.158,22.905,18.087,Best
MJ McClenaghan,NZ,26.3,20.2,7.78,20.938,1.034,0,1.034,27.207,34.102,Good
SVE Bharathi,GER,12.79,15.2,5.02,20.045,1.318,0.045,1.19,16.864,10.701,Best
TK Curran,ENG,31.27,20.2,9.25,20.276,1,0.034,0.893,31.276,48.208,Average
A Dananjaya,SL,32.46,23.7,8.2,21.387,0.903,0,0.903,29.323,44.362,Average
RM Haq,SCOT,16.85,16,6.29,22.5,1.4,0,1.4,23.6,17.664,Best
D Heyliger,CAN,17.42,15.5,6.71,19.745,1.273,0.136,0.789,22.182,19.481,Best
KM Jarvis,ZIM,23.75,16,8.9,20.291,1.273,0,1.273,30.227,35.229,Good
B Lee,AUS,25.5,19.4,7.86,21.72,1.12,0,1.12,28.56,33.405,Good
Mohammed Nadeem,QAT,21.96,19.5,6.75,21,1.077,0.038,0.96,23.654,24.705,Best
IK Pathan,INDIA,22.07,16.5,8.02,20.087,1.217,0,1.217,26.87,29.5,Best
Rubel Hossain,BAN,32.57,20.6,9.45,21.4,1.037,0,1.037,33.778,51.298,Average
Saad Bin Zafar,CAN,17.28,17.3,5.97,22.091,1.273,0,1.273,22,17.194,Best
Samiullah Shinwari,AFG,24.57,22.6,6.51,16.642,0.737,0.053,0.528,18.105,26.658,Best
Shoaib Malik,PAK,24.1,20.3,7.1,11.633,0.571,0,0.571,13.776,28.518,Best
SW Tait,AUS,21.03,17,7.39,22.686,1.333,0,1.333,28.048,25.902,Best
Yuvraj Singh,INDIA,17.82,15.1,7.06,13.626,0.903,0,0.903,16.097,20.968,Best
HS Baidwan,CAN,15.22,11.9,7.63,18.882,1.588,0.059,1.438,24.176,19.355,Best
RP Burl,ZIM,21.85,18.2,7.19,15.871,0.871,0,0.871,19.032,26.184,Best
ST Finn,ENG,21.59,17.7,7.28,22.857,1.286,0,1.286,27.762,26.196,Best
D Pretorius,SA,20.44,15.2,8.03,17.843,1.174,0.043,1,24,27.356,Best
B Stanlake,AUS,20.14,15.5,7.77,22.105,1.421,0.053,1.278,28.632,26.081,Best
I Udana,SL,33.88,23.3,8.7,19.706,0.844,0,0.844,28.594,49.126,Average
KJ Abbott,SA,22.26,16.7,7.96,20.686,1.238,0,1.238,27.571,29.532,Best
DL Chahar,INDIA,22.26,16.1,8.27,21,1.3,0.05,1.053,28.95,30.682,Good
MA Leask,SCOT,26.03,19.5,8.01,15.806,0.812,0,0.812,21.156,34.75,Good
WP Masakadza,ZIM,25,20.7,7.22,19.286,0.929,0.036,0.815,23.214,30.083,Good
JA Morkel,SA,33.23,24.8,8.01,14.022,0.565,0,0.565,18.783,44.362,Average
Muslim Yar,GER,17.38,16.6,6.27,19.636,1.182,0,1.182,20.545,18.162,Best
Nasum Ahmed,BAN,16,14.8,6.44,19.29,1.3,0.15,0.824,20.8,17.173,Best
NN Odhiambo,KENYA,26.46,20.3,7.8,17.052,0.839,0.032,0.7,22.194,34.398,Good
D Ravu,PNG,12.46,12,6.21,16.453,1.368,0.105,1,17.053,12.896,Best
MC Sorensen,IRE,18.11,15,7.24,17.727,1.182,0,1.182,21.409,21.853,Best
P Utseya,ZIM,33,28.8,6.87,21.343,0.743,0,0.743,24.514,37.785,Good
MA Wood,ENG,23.88,16.5,8.68,22.516,1.368,0,1.368,32.684,34.546,Good
Zeeshan Maqsood,OMA,23.88,20.7,6.9,18,0.867,0.067,0.643,20.7,27.462,Best
MA Baig,MWI,9.44,10.8,5.24,20.769,1.923,0.154,1.455,18.154,8.244,Best
SE Bond,NZ,21.72,18.6,7,23.19,1.25,0,1.25,27.15,25.34,Best
LH Ferguson,NZ,15.4,12.9,7.12,21.6,1.667,0.067,1.429,25.667,18.275,Best
Harbhajan Singh,INDIA,25.32,24.4,6.2,22.667,0.926,0.037,0.808,23.444,26.164,Best
BE Hendricks,SA,25.08,16.3,9.19,21.505,1.316,0.053,1.167,33,38.414,Good
Mahedi Hasan,BAN,26.44,24.3,6.51,20.26,0.833,0,0.833,22.033,28.687,Best
B Muzarabani,ZIM,28.32,20.4,8.32,23.182,1.136,0,1.136,32.182,39.27,Good
Nadeem Ahmed,HKG,21.84,19.8,6.61,20.575,1.042,0.042,0.913,22.75,24.06,Best
E Otieno,KENYA,21,17.8,7.04,17.832,1,0,1,21,24.64,Best
LE Plunkett,ENG,25.08,19,7.9,21.6,1.136,0,1.136,28.5,33.022,Good
B Regmi,NEPAL,16.2,14.9,6.51,20.7,1.389,0.056,1.235,22.5,17.577,Best
SMSM Senanayake,SL,21.96,19.4,6.77,21.13,1.087,0.043,0.955,23.87,24.778,Best
HR Walsh,USA/WI,24.76,18.9,7.85,18.84,1,0,1,24.76,32.394,Good
Washington Sundar,INDIA,30,24.8,7.24,20.66,0.833,0,0.833,25,36.2,Good
FA Allen,WI,26.91,21.7,7.43,17.897,0.828,0,0.828,22.276,33.324,Good
MNM Aslam,KUW,12.45,11.7,6.36,20.143,1.714,0.143,1.333,21.357,13.197,Good
TT Bresnan,ENG,36.95,27.6,8.02,19.465,0.706,0,0.706,26.088,49.39,Average
Haseeb Amjad,HKG,18.87,15.3,7.38,20.4,1.333,0.056,1.176,25.167,23.21,Good
Junaid Siddique,UAE,22.5,18.5,7.26,21.2,1.143,0.048,1,25.714,27.225,Good
P Mishra,BUL,27.5,21.2,7.76,19.615,0.923,0,0.923,25.385,35.567,Good
Mohammad Nadeem,OMA,26.83,22.8,7.03,18.26,0.8,0.033,0.69,21.467,31.436,Good
N Nipiko,VAN,12.95,9.8,7.9,18.092,1.846,0.231,1.1,23.923,17.051,Good
CO Obuya,KENYA,16.95,15,6.74,16.418,1.091,0.045,0.952,18.5,19.04,Good
KMA Paul,WI,26.79,18,8.93,21.6,1.2,0.05,1,32.15,39.872,Good
VP Thamotharam,MLT,23.87,18,7.93,18.025,1,0,1,23.875,31.548,Good
Usman Qadir,PAK,16.41,13,7.57,19.5,1.5,0.062,1.333,24.625,20.704,Good
A Vala,PNG,14.91,13.9,6.41,15.136,1.091,0,1.091,16.273,15.929,Good
CJA Amini,PNG,25.52,22.8,6.69,18.083,0.793,0,0.793,20.241,28.455,Good
IG Butler,NZ,20.91,15.5,8.06,19.8,1.278,0,1.278,26.722,28.089,Good
Fitri Sham,MAL,22.91,18.8,7.28,19.691,1.045,0,1.045,23.955,27.797,Good
CBRLS Kumara,SL,24.52,17.3,8.46,22.133,1.278,0,1.278,31.333,34.573,Good
S Muniandy,MAL,30.82,19.8,9.3,16.911,0.852,0.074,0.6,26.259,47.771,Average
N Pokana,PNG,22.56,20.3,6.66,19.375,0.958,0,0.958,21.625,25.042,Good
PADLR Sandakan,SL,24.21,20,7.26,22.92,1.15,0.05,1,27.85,29.294,Good
RJ Sidebottom,ENG,19,15.9,7.14,20.367,1.278,0,1.278,24.278,22.61,Good
CA Soper,PNG,18.69,16.9,6.61,18.571,1.095,0,1.095,20.476,20.59,Good
Taskin Ahmed,BAN,35.3,27.3,7.75,20.206,0.742,0,0.742,26.194,45.596,Average
Amar Sharma,MLT,33.81,26,7.79,21.178,0.815,0,0.815,27.556,43.897,Average
Amjad Mahboob,SGP,16.5,12.4,7.94,19.457,1.571,0,1.571,25.929,21.835,Good
Awais Malik,QAT,20.27,15.5,7.82,19,1.222,0,1.222,24.778,26.419,Good
Ijaz Hussain,ROM,16.31,13.5,7.22,18.525,1.375,0.062,1.2,22.438,19.626,Good
FJ Klaassen,NED,28.4,21.3,7.97,20.4,0.957,0,0.957,27.174,37.725,Good
D Maisuria,BOT,7.81,9,5.21,22,2.444,0.222,2,19.111,6.782,Good
EJB Miles,JER,17.27,16.3,6.33,18,1.1,0,1.1,19,18.22,Good
MN Samuels,WI,28.27,21.7,7.79,15.9,0.733,0,0.733,20.733,36.704,Good
H Ssenyondo,UGA,20.13,21.7,5.54,19.875,0.917,0.042,0.783,18.458,18.587,Good
V Vijh,LUX,17.31,13.1,7.88,19.28,1.467,0.067,1.286,25.4,22.734,Good
AC Botha,IRE,8.76,9.7,5.41,20.4,2.1,0,2.1,18.4,7.899,Good
JP Duminy,SA,28.52,22,7.76,11.283,0.512,0,0.512,14.61,36.886,Good
Ehsan Khan,HKG,23.8,23.3,6.12,21.235,0.913,0,0.913,21.739,24.276,Good
Fareed Ahmad,AFG,21.76,15.6,8.33,20.438,1.312,0,1.312,28.562,30.21,Good
Ghulam Ahmadi,GER,20.57,24.9,4.95,22.722,0.913,0.043,0.773,18.783,16.97,Good
Hamza Tahir,SCOT,19.57,14.5,8.05,23.538,1.615,0.077,1.417,31.615,26.256,Good
AR McBrine,IRE,17.04,16,6.39,16.8,1.05,0,1.05,17.9,18.148,Good
Mohammad Sami,PAK,18.42,13.1,8.41,21.231,1.615,0,1.615,29.769,25.819,Good
JDS Neesham,NZ,27.9,18.1,9.22,13.097,0.724,0,0.724,20.207,42.873,Average
A Nortje,SA,23.28,19.5,7.15,21.537,1.105,0,1.105,25.737,27.742,Good
Sikandar Raza,ZIM,34.14,27.4,7.46,14.4,0.525,0,0.525,17.925,42.447,Average
Sultan Ahmed,UAE,21.42,21.4,6,19.565,0.913,0.043,0.773,19.565,21.42,Good
O Thomas,WI,28.66,18.2,9.4,20.211,1.105,0.053,0.889,31.684,44.901,Average
Abdul Razzaq,PAK,19.75,16.9,6.99,15.355,0.909,0,0.909,17.955,23.009,Good
P Aho,NGA,16.85,15.8,6.37,19.688,1.25,0.062,0.933,21.062,17.889,Good
F Akankwasa,UGA,16.5,16.4,6.03,19.2,1.176,0.059,1,19.412,16.582,Good
DAJ Bracewell,NZ,23.5,15.5,9.09,17.133,1.111,0,1.111,26.111,35.602,Good
S Conteh,SLE,8.35,9.6,5.21,21.333,2.222,0.222,1.571,18.556,7.251,Good
FH Edwards,WI,30.85,22.4,8.24,17.192,0.769,0,0.769,23.731,42.367,Average
Fayyaz Butt,OMA,25.45,20.8,7.32,18.9,0.909,0,0.909,23.136,31.049,Good
JEC Franklin,NZ,20.85,16.3,7.65,12.531,0.769,0.038,0.64,16.038,26.584,Good
CH Gayle,WI,22,19,6.92,12.66,0.667,0,0.667,14.667,25.373,Good
Gulbadin Naib,AFG,34.4,25.2,8.17,14.841,0.588,0,0.588,20.235,46.841,Average
Khalid Ahmadi,Belg,11.75,13,5.42,21.6,1.667,0.167,1.2,19.583,10.614,Good
BJ McCarthy,IRE,31.6,20.6,9.18,21.632,1.053,0.105,0.706,33.263,48.348,Average
F Nsubuga,UGA,20.25,24.6,4.93,21.391,0.87,0,0.87,17.609,16.639,Good
T Panyangara,ZIM,19.9,15.1,7.88,21.557,1.429,0.071,1.231,28.429,26.135,Good
WA Peatfield,GUE,18.75,17.4,6.46,21.75,1.25,0.062,1.067,23.438,20.188,Good
AM Phangiso,SA,22.15,17.1,7.77,21.375,1.25,0,1.25,27.688,28.684,Good
Sami Sohail,MWI,13.5,12.8,6.3,19.615,1.538,0.077,1.333,20.769,14.175,Good
Shafiul Islam,BAN,26.6,20,7.98,19.92,1,0,1,26.6,35.378,Good
PR Stirling,IRE,33.95,27.3,7.46,13,0.476,0,0.476,16.167,42.211,Average
J Theron,SA/USA,17,13.9,7.33,21.323,1.538,0.077,1.333,26.154,20.768,Good
Umar Adam,Mald,17.95,14.7,7.32,19.6,1.333,0,1.333,23.933,21.899,Good
C Viljoen,NAM,11.8,11.1,6.34,18.55,1.667,0.167,1.1,19.667,12.469,Good
B Ward,JER,17.9,19,5.65,19.958,1.053,0.053,0.889,18.842,16.856,Good
NW Bracken,AUS,23.05,19.8,6.97,19.737,1,0,1,23.053,26.776,Good
GJ Delany,IRE,27.68,21.7,7.62,16.56,0.76,0,0.76,21.04,35.154,Good
MG Erasmus,NAM,15.52,17.1,5.44,17.084,1,0,1,15.526,14.071,Good
H Fennell,Arg,10.31,9.7,6.35,16.636,1.727,0.182,1,17.818,10.911,Good
DJ Hussey,AUS,20.63,19,6.51,14.424,0.76,0,0.76,15.68,22.384,Good
ST Jayasuriya,SL,24,19.5,7.37,15.375,0.792,0,0.792,19,29.48,Good
OC McCoy,WI,16.84,13.2,7.61,21,1.583,0.167,1.1,26.667,21.359,Good
A Nathwani,Aut,13.57,14.2,5.73,19.286,1.357,0,1.357,18.429,12.959,Good
SA Okpe,NGA,9.94,11.4,5.2,15.514,1.357,0,1.357,13.5,8.615,Good
JDP Oram,NZ,41.73,28.7,8.71,17.062,0.594,0,0.594,24.781,60.578,Average
JA Richardson,AUS,29.26,20.8,8.42,22,1.056,0,1.056,30.889,41.062,Average
Sahir Naqash,GER,17,14.5,7.02,15.333,1.056,0,1.056,17.944,19.89,Good
Shoaib Akhtar,PAK,22.73,16.7,8.15,21.2,1.267,0,1.267,28.8,30.875,Good
BA Stokes,ENG,37.73,25.7,8.77,17.443,0.679,0,0.679,25.607,55.149,Average
Syazrul Idrus,MAL,18.57,14.2,7.84,20.769,1.462,0,1.462,27.154,24.265,Good
Tanwir Afzal,HKG,26.78,22.4,7.16,20.286,0.905,0,0.905,24.238,31.957,Good
JM Anderson,ENG,30.66,23.4,7.84,22.168,0.947,0,0.947,29.053,40.062,Average
SJ Benn,WI,33.66,28,7.21,21,0.75,0.042,0.609,25.25,40.448,Average
PW Borren,NED,33.5,29.2,6.87,17.48,0.6,0,0.6,20.1,38.358,Good
CRD Fernando,SL,25.77,21,7.36,21,1,0,1,25.778,31.611,Good
HMRKB Herath,SL,20.72,20.2,6.13,21.353,1.059,0.059,0.812,21.941,21.169,Good
Mohammed Shami,INDIA,31.55,19.8,9.54,20.929,1.059,0,1.059,33.412,50.164,Average
Naveed Ahmed,CZK-R,20.66,16.3,7.59,16.333,1,0,1,20.667,26.135,Good
Naveen-ul-Haq,AFG,18.33,14.3,7.67,19.846,1.385,0,1.385,25.385,23.432,Good
Nouman Sarwar,QAT,14.83,11.6,7.66,15.923,1.385,0.077,1.167,20.538,18.933,Good
K Santokie,WI,15.44,13.6,6.8,20.25,1.5,0.083,1.273,23.167,17.499,Good
SB Styris,NZ,19.38,17.1,6.77,14.657,0.857,0,0.857,16.619,21.867,Good
Tamoor Sajjad,QAT,22.11,19.3,6.84,21.788,1.125,0,1.125,24.875,25.205,Good
Taranjeet Singh,ROM,16.61,14.6,6.79,18.857,1.286,0.071,1.077,21.357,18.797,Good
SR Thompson,IRE,37.22,26.3,8.48,15.8,0.6,0.033,0.483,22.333,52.604,Average
LL Tsotsobe,SA,30.05,26,6.93,20.348,0.783,0,0.783,23.522,34.708,Good
