name,country,average,strike_rate,boundary_per_ball,boundary_index,finishing_index,runs_without_boundary_index,big_match_index,prelim_metric,pre-rank
GC Wilson,IRE,21.13,104.62,0.106,1.882,0.118,10.529,0.044,22.106,Good
Najibullah Zadran,AFG,33.13,140.2,0.168,2.517,0.367,8.717,0.1,46.448,Best
DJ Bravo,WI,22.01,115.03,0.117,1.73,0.23,8.554,0.054,25.318,Good
Fakhar Zaman,PAK,22.37,131.61,0.179,2.881,0.051,8.254,0.119,29.441,Good
BN Cooper,NED,28.15,124.77,0.157,2.836,0.2,9.8,0.164,35.123,Best
DJ Malan,ENG,41.3,137.2,0.187,4.829,0.143,13.743,0.371,56.664,Best
NLTC Perera,SL,23.15,151.63,0.191,2.054,0.297,6.324,0.041,35.102,Best
N Pooran,WI,27.74,128.97,0.168,3.1,0.14,8.7,0.16,35.776,Best
JM Bairstow,ENG,26.44,135.84,0.183,2.807,0.211,7.93,0.123,35.916,Best
Yuvraj Singh,INDIA,28.02,136.38,0.175,2.961,0.176,8.333,0.157,38.214,Best
KP Pietersen,ENG,37.93,141.51,0.182,4.194,0.139,14.111,0.194,53.675,Best
MP O'Dowd,NED,29.76,124.17,0.154,3.429,0.071,12.643,0.238,36.953,Best
CS MacLeod,SCOT,24.1,110.4,0.115,2.123,0.158,11.035,0.123,26.606,Good
AD Mathews,SL,25.51,117.74,0.114,1.762,0.286,9.968,0.079,30.035,Best
WTS Porterfield,IRE,20.35,111.12,0.147,2.424,0.102,7.814,0.051,22.613,Good
LD Chandimal,SL,19.66,103.6,0.109,1.836,0.115,9.344,0.098,20.368,Good
RR Hendricks,SA,26.89,121.55,0.159,3.425,0.025,11.675,0.175,32.685,Best
SC Williams,ZIM,23.5,125.94,0.153,2.52,0.12,9.44,0.14,29.596,Good
DS Airee,NEPAL,39.73,133.29,0.148,3.382,0.235,14.971,0.206,52.956,Best
Samiullah Shinwari,AFG,22.02,118.06,0.132,2.018,0.179,8.696,0.036,25.997,Good
Kamran Akmal,PAK,21.0,119.63,0.159,2.472,0.113,7.566,0.094,25.122,Good
CL White,AUS,32.8,132.97,0.155,2.614,0.318,9.909,0.114,43.614,Best
GC Smith,SA,31.67,127.53,0.194,4.515,0.061,10.121,0.152,40.389,Best
Shaiman Anwar,UAE,33.48,126.1,0.153,3.688,0.094,12.906,0.25,42.218,Best
ADS Fletcher,WI,21.11,111.37,0.137,2.25,0.135,7.308,0.115,23.51,Good
MD Shanaka,SL,20.14,114.64,0.134,1.82,0.23,6.77,0.049,23.088,Good
MH Cross,SCOT,24.25,116.07,0.141,2.5,0.152,9.478,0.109,28.147,Good
Sabbir Rahman,BAN,24.89,120.81,0.149,2.721,0.116,9.814,0.093,30.07,Best
BRM Taylor,ZIM,23.94,118.22,0.148,2.6,0.133,9.289,0.133,28.302,Good
HE van der Dussen,SA,38.87,130.85,0.133,3.065,0.226,15.258,0.194,50.861,Best
G Gambhir,INDIA,27.41,119.02,0.152,3.306,0.056,12.111,0.194,32.623,Best
MG Erasmus,NAM,34.33,131.48,0.155,3.028,0.25,11.639,0.25,45.137,Best
Liton Das,BAN,19.93,123.41,0.153,2.426,0.021,8.532,0.106,24.596,Good
E Chigumbura,ZIM,19.0,140.62,0.18,2.036,0.161,5.911,0.054,26.718,Good
JE Root,ENG,35.72,126.3,0.153,3.6,0.167,14.3,0.167,45.114,Best
Muhammad Usman,UAE,24.08,114.52,0.129,2.326,0.14,10.163,0.07,27.576,Good
SPD Smith,AUS,26.05,125.31,0.133,2.186,0.209,10.884,0.093,32.643,Best
MR Marsh,AUS,31.6,125.0,0.148,3.0,0.2,11.286,0.171,39.5,Best
Jatinder Singh,OMA,25.73,113.93,0.132,2.59,0.128,11.359,0.103,29.314,Good
CR Ervine,ZIM,25.44,105.48,0.126,2.784,0.081,11.054,0.135,26.834,Good
Syed Aziz,MAL,32.57,135.52,0.19,3.967,0.133,10.033,0.233,44.139,Best
CO Obuya,KENYA,26.7,105.47,0.103,2.132,0.184,12.053,0.105,28.16,Good
SS Iyer,INDIA,36.77,141.43,0.173,3.094,0.312,11.094,0.188,52.004,Best
Mohammad Naim,BAN,24.51,103.71,0.118,2.706,0.029,11.971,0.118,25.419,Good
CG Williams,NAM,27.75,112.9,0.129,2.788,0.121,11.848,0.182,31.33,Best
W Barresi,NED,22.82,114.96,0.129,2.195,0.146,9.683,0.098,26.234,Good
P Khadka,NEPAL,27.55,128.04,0.173,3.375,0.094,9.844,0.188,35.275,Best
MS Wade,AUS,21.91,129.34,0.146,1.978,0.2,8.2,0.067,28.338,Good
Misbah-ul-Haq,PAK,37.52,110.2,0.099,2.088,0.382,13.294,0.088,41.347,Best
S Davizi,CZK-R,45.82,149.23,0.215,5.895,0.105,14.368,0.421,68.377,Best
R Satheesan,ROM,45.58,184.52,0.29,5.81,0.19,9.952,0.333,84.104,Best
Zeeshan Maqsood,OMA,27.5,111.43,0.153,3.118,0.176,9.0,0.088,30.643,Best
SJ Myburgh,NED,23.84,116.31,0.163,3.147,0.059,8.559,0.147,27.728,Good
DJ Hussey,AUS,22.9,121.34,0.12,2.083,0.083,10.778,0.083,27.787,Good
TL Seifert,NZ,23.53,129.82,0.172,2.703,0.135,7.541,0.135,30.547,Best
NS Dhaliwal,CAN,44.0,134.53,0.165,4.182,0.227,14.0,0.273,59.193,Best
G Malla,NEPAL,22.66,123.02,0.16,2.853,0.029,8.647,0.088,27.876,Good
AD Russell,WI,19.5,156.0,0.219,1.825,0.333,3.526,0.018,30.42,Best
Nizakat Khan,HKG,17.78,125.04,0.158,2.244,0.0,7.634,0.049,22.232,Good
J Charles,WI,21.93,121.68,0.185,3.333,0.0,7.03,0.121,26.684,Good
AA Obanda,KENYA,20.68,122.71,0.192,2.897,0.103,5.795,0.077,25.376,Good
MEK Hussey,AUS,37.94,136.29,0.157,2.767,0.367,11.3,0.133,51.708,Best
RS Bopara,ENG,28.44,118.69,0.119,2.029,0.286,11.229,0.086,33.755,Best
MK Pandey,INDIA,44.31,126.15,0.121,2.061,0.515,12.091,0.091,55.897,Best
CK Kapugedera,SL,22.67,118.95,0.14,2.184,0.184,8.447,0.026,26.966,Good
A Vala,PNG,24.03,111.52,0.133,2.441,0.147,9.676,0.147,26.798,Good
GJ Delany,IRE,23.93,136.07,0.169,2.457,0.171,8.229,0.086,32.562,Best
RR Pant,INDIA,24.39,125.78,0.147,2.162,0.243,8.243,0.081,30.678,Best
Muhammad Tanveer,QAT,34.05,129.46,0.169,3.423,0.231,9.962,0.231,44.081,Best
Kamran Khan,QAT,28.08,132.41,0.187,3.8,0.04,8.56,0.2,37.181,Best
RR Patel,KENYA,28.0,132.28,0.169,2.774,0.226,7.935,0.129,37.038,Best
CJ Chibhabha,ZIM,19.05,109.52,0.149,2.6,0.0,7.914,0.143,20.864,Good
SO Hetmyer,WI,21.48,118.71,0.134,2.143,0.114,8.629,0.086,25.499,Good
JH Kallis,SA,35.05,119.35,0.136,3.304,0.174,14.0,0.217,41.832,Best
SJ Baard,NAM,30.22,114.65,0.131,3.04,0.12,13.0,0.2,34.647,Best
Chirag Suri,UAE,31.19,115.72,0.138,3.25,0.125,12.958,0.25,36.093,Best
R Sandaruwan,KUW,38.52,160.14,0.242,5.211,0.105,9.737,0.316,61.686,Best
Ahmed Faiz,MAL,28.08,117.24,0.14,3.208,0.042,12.583,0.125,32.921,Best
GD Phillips,NZ,25.8,140.21,0.174,2.667,0.167,8.367,0.133,36.174,Best
DJM Short,AUS,30.57,118.88,0.159,3.739,0.087,11.652,0.174,36.342,Best
PW Borren,NED,19.33,121.75,0.149,2.053,0.132,7.632,0.026,23.534,Good
BKG Mendis,SL,20.58,124.36,0.148,2.375,0.031,8.812,0.188,25.593,Good
MM Ali,ENG,18.73,136.98,0.176,1.864,0.227,5.568,0.091,25.656,Good
D Ramdin,WI,18.7,115.42,0.127,1.4,0.32,6.36,0.02,21.584,Good
MD Gunathilaka,SL,18.08,120.57,0.158,2.371,0.0,7.629,0.086,21.799,Good
Taranjeet Singh,ROM,52.75,182.42,0.314,7.786,0.143,9.786,0.5,96.227,Best
ST Jayasuriya,SL,23.29,129.15,0.203,3.3,0.1,6.233,0.133,30.079,Best
B Arora,MLT,28.54,95.29,0.117,2.962,0.154,11.308,0.115,27.196,Good
Khawar Ali,OMA,19.56,98.58,0.129,2.343,0.086,7.657,0.057,19.282,Average
JW Jenner,JER,28.31,119.12,0.126,2.538,0.154,12.269,0.192,33.723,Best
MR Swart,NED,27.0,115.64,0.128,2.76,0.08,12.52,0.16,31.223,Best
H Lakov,BUL,32.57,107.83,0.094,2.25,0.208,16.375,0.25,35.12,Best
R Powell,WI,24.76,138.78,0.175,2.516,0.194,7.516,0.161,34.362,Best
MN Waller,ZIM,26.65,138.37,0.158,2.258,0.258,8.935,0.032,36.876,Best
W Madhevere,ZIM,25.45,123.43,0.156,2.962,0.077,10.962,0.231,31.413,Best
DP Conway,NZ,50.16,139.35,0.178,4.529,0.294,15.529,0.235,69.898,Best
Sikandar Raza,ZIM,13.93,105.64,0.109,1.409,0.023,7.432,0.023,14.716,Average
Usman Ghani,AFG,27.18,109.92,0.14,3.167,0.083,10.917,0.125,29.876,Good
BA Pai,GIBR,49.58,126.05,0.138,4.333,0.2,20.867,0.4,62.496,Best
S Ssesazi,UGA,35.0,111.21,0.146,4.105,0.105,13.0,0.316,38.924,Best
PM Seelaar,NED,17.38,111.09,0.103,1.196,0.261,7.543,0.022,19.307,Average
CJA Amini,PNG,24.58,119.19,0.121,2.143,0.143,11.357,0.107,29.297,Good
DJG Sammy,WI,17.26,147.48,0.191,1.462,0.346,4.25,0.0,25.455,Good
PD Collingwood,ENG,18.8,127.01,0.133,1.848,0.061,8.818,0.091,23.878,Good
DR Smith,WI,18.18,122.78,0.196,2.906,0.0,4.625,0.094,22.321,Good
RP Burl,ZIM,29.0,117.64,0.118,1.812,0.375,9.25,0.031,34.116,Best
SB Styris,NZ,21.4,119.66,0.135,2.241,0.069,9.241,0.034,25.607,Good
K Bhurtel,NEPAL,47.75,129.34,0.178,4.938,0.25,13.438,0.438,61.76,Best
JA Morkel,SA,21.18,142.28,0.169,1.789,0.289,5.842,0.0,30.135,Best
Sarfaraz Ali,BHR,35.56,168.34,0.272,5.412,0.059,6.765,0.235,59.862,Best
IA De Silva,BUL,25.77,117.87,0.158,3.304,0.043,9.174,0.174,30.375,Best
Riazat Ali Shah,UGA,33.35,134.67,0.162,2.957,0.261,10.217,0.13,44.912,Best
IA Karim,KENYA,25.72,100.53,0.107,2.143,0.214,11.214,0.179,25.856,Good
MP Stoinis,AUS,28.25,139.5,0.183,2.242,0.394,7.0,0.03,39.409,Best
Gulbadin Naib,AFG,18.8,119.49,0.142,1.558,0.302,5.721,0.023,22.464,Good
P Nissanka,SL,29.57,116.83,0.139,3.526,0.0,14.421,0.263,34.547,Best
S Bau,PNG,25.4,109.39,0.108,2.115,0.154,11.423,0.038,27.785,Good
TH David,SGP,46.5,158.52,0.216,5.429,0.143,14.429,0.286,73.712,Best
HH Pandya,INDIA,20.48,146.29,0.175,1.833,0.25,6.25,0.0,29.96,Good
MJ Lumb,ENG,21.23,133.65,0.206,3.148,0.037,6.296,0.111,28.374,Good
Babar Hayat,HKG,27.05,124.94,0.15,2.708,0.167,10.042,0.167,33.796,Best
HT Tector,IRE,23.47,127.96,0.126,1.828,0.207,10.207,0.069,30.032,Best
Karim Sadiq,AFG,14.94,109.12,0.144,1.972,0.0,6.5,0.028,16.303,Average
Afif Hossain,BAN,16.71,116.05,0.13,1.667,0.111,7.139,0.028,19.392,Average
Rahmanullah Gurbaz,AFG,26.7,137.62,0.191,3.7,0.0,8.4,0.15,36.745,Best
RN ten Doeschate,NED,41.0,132.91,0.115,2.0,0.435,13.522,0.13,54.493,Best
S Wickramasekara,CZK-R,29.27,159.69,0.233,3.667,0.143,7.0,0.286,46.741,Best
C Kieswetter,ENG,21.91,111.91,0.149,2.8,0.04,8.0,0.12,24.519,Good
JJ Smit,NAM,32.81,146.23,0.17,2.542,0.333,9.042,0.083,47.978,Best
V Sibanda,ZIM,20.44,101.59,0.125,2.423,0.038,9.115,0.038,20.765,Good
VP Thamotharam,MLT,25.4,143.09,0.189,2.792,0.167,7.75,0.125,36.345,Best
Muhammad Waseem,UAE,46.0,153.33,0.218,6.0,0.083,12.833,0.583,70.532,Best
Noor Ali Zadran,AFG,26.63,101.81,0.103,2.55,0.05,14.5,0.15,27.112,Good
C de Grandhomme,NZ,15.78,138.35,0.156,1.462,0.179,5.564,0.077,21.832,Good
Nawroz Mangal,AFG,18.03,111.47,0.135,1.906,0.125,6.969,0.062,20.098,Good
KD Shah,HKG,19.3,110.08,0.123,1.806,0.161,8.194,0.097,21.245,Good
Aqib Ilyas,OMA,25.05,113.86,0.15,2.64,0.2,8.68,0.12,28.522,Good
T Bavuma,SA,27.83,123.09,0.135,2.75,0.1,12.85,0.05,34.256,Best
Imran Nazir,PAK,21.73,135.13,0.219,3.375,0.042,5.5,0.125,29.364,Good
TP Visee,NED,16.0,146.31,0.251,2.742,0.0,3.935,0.097,23.41,Good
Shafiqullah,AFG,16.46,145.29,0.194,1.571,0.286,4.0,0.024,23.915,Good
S Adedeji,NGA,24.6,88.96,0.096,2.208,0.167,10.5,0.125,21.884,Good
HS Gericke,MLT,28.82,165.54,0.209,3.647,0.0,11.882,0.235,47.709,Good
MJ Clarke,AUS,21.21,103.17,0.082,1.393,0.179,11.143,0.036,21.882,Good
CJ Anderson,NZ,24.25,138.17,0.16,2.333,0.167,8.708,0.083,33.506,Good
N Dickwella,SL,18.46,131.14,0.191,2.593,0.037,6.741,0.037,24.208,Good
L Bruce,GIBR,36.61,120.81,0.114,3.0,0.133,18.933,0.4,44.229,Good
DM Nakrani,UGA,31.73,144.68,0.204,2.68,0.4,5.92,0.08,45.907,Good
JDP Oram,NZ,20.6,139.82,0.177,2.0,0.233,6.333,0.067,28.803,Good
GJ Bailey,AUS,24.89,136.7,0.165,2.192,0.269,7.885,0.077,34.025,Good
VB Chikkannaiah,GER,23.4,95.9,0.094,2.091,0.091,11.909,0.182,22.441,Good
NJ O'Brien,IRE,17.92,98.1,0.099,1.679,0.071,9.429,0.036,17.58,Average
JEC Franklin,NZ,20.13,118.41,0.13,1.645,0.258,6.871,0.065,23.836,Good
JM Vince,ENG,27.23,128.25,0.169,3.588,0.0,11.235,0.118,34.922,Good
RW Chakabva,ZIM,15.75,125.54,0.143,1.677,0.065,6.677,0.0,19.773,Average
JD Ryder,NZ,22.85,127.65,0.182,3.095,0.048,7.667,0.143,29.168,Good
Ravinderpal Singh,CAN,30.4,137.76,0.163,3.0,0.167,10.778,0.167,41.879,Good
Saud Islam,UGA,26.58,106.1,0.122,2.737,0.105,11.895,0.158,28.201,Good
Mohammad Ashraful,BAN,19.56,126.4,0.166,2.565,0.0,8.348,0.087,24.724,Good
H Klaasen,SA,22.45,142.08,0.168,2.12,0.2,7.8,0.12,31.897,Good
Rameez Shahzad,UAE,24.94,111.13,0.124,2.381,0.143,10.619,0.048,27.716,Good
GH Dockrell,IRE,14.83,121.91,0.11,0.816,0.388,5.204,0.0,18.079,Average
HAM Shah,DEN,31.78,113.52,0.13,3.643,0.0,16.071,0.214,36.077,Good
Aasif Sheikh,NEPAL,26.11,125.07,0.166,3.278,0.056,9.667,0.111,32.656,Good
Younis Khan,PAK,22.1,121.42,0.118,1.87,0.13,10.696,0.087,26.834,Good
S Chandramohan,SGP,31.14,119.12,0.164,4.0,0.067,10.933,0.2,37.094,Good
Yasir Ali,ESP,33.53,104.3,0.11,2.556,0.278,12.111,0.111,34.972,Good
Asif Ali,PAK,17.4,133.84,0.145,1.343,0.286,5.4,0.0,23.288,Good
NR Kumar,CAN,31.0,129.16,0.14,2.938,0.125,13.75,0.188,40.04,Good
SA Edwards,NED,21.55,135.53,0.16,1.759,0.31,7.207,0.0,29.207,Good
DMW Rawlins,BMUDA,26.87,138.26,0.186,3.412,0.059,8.706,0.118,37.15,Good
MA Leask,SCOT,14.75,129.69,0.155,1.545,0.121,5.455,0.03,19.129,Average
A Ashokan,CZK-R,28.26,117.45,0.105,2.111,0.167,13.222,0.167,33.191,Good
PL Mommsen,SCOT,34.91,127.35,0.131,2.263,0.368,11.842,0.105,44.458,Good
KIC Asalanka,SL,27.86,124.4,0.158,3.118,0.118,10.471,0.176,34.658,Good
V Aravind,UAE,37.9,137.17,0.178,4.154,0.154,13.154,0.231,51.987,Good
JDS Neesham,NZ,21.89,151.82,0.204,1.931,0.345,4.897,0.0,33.233,Good
DM de Silva,SL,20.6,108.42,0.1,1.727,0.091,11.273,0.091,22.335,Good
MW Machan,SCOT,40.7,127.98,0.138,3.385,0.231,16.692,0.231,52.088,Good
WU Tharanga,SL,16.28,123.33,0.164,2.077,0.038,6.423,0.0,20.078,Good
KC D'Souza,BUL,27.06,146.04,0.183,2.318,0.318,7.364,0.0,39.518,Good
Haider Ali,PAK,23.88,128.48,0.171,2.842,0.105,8.105,0.158,30.681,Good
Sharjeel Khan,PAK,22.55,133.11,0.223,3.778,0.0,5.778,0.111,30.016,Good
DM Bravo,WI,21.31,106.86,0.121,2.091,0.136,8.773,0.0,22.772,Good
EC Joyce,ENG/IRE,33.75,93.96,0.081,2.333,0.2,17.0,0.067,31.711,Good
TLW Cooper,NED,28.85,132.02,0.176,3.176,0.176,9.176,0.118,38.088,Good
LJ Tucker,IRE,17.52,115.8,0.121,1.615,0.115,8.5,0.077,20.288,Good
HH Gibbs,SA,18.18,125.78,0.179,2.478,0.043,6.435,0.13,22.867,Good
KD Karthik,INDIA,33.25,143.52,0.205,2.192,0.538,5.423,0.0,47.72,Good
F Damiao Couana,MOZ,39.5,141.57,0.194,4.909,0.091,12.091,0.273,55.92,Good
Hussain Talat,PAK,24.62,118.31,0.126,2.333,0.111,12.0,0.111,29.128,Good
V Sehwag,INDIA,21.88,145.38,0.218,3.278,0.0,7.0,0.111,31.809,Good
Abdul Razzaq,PAK,20.68,116.61,0.125,1.448,0.345,6.31,0.0,24.115,Good
DJ Mitchell,NZ,21.77,134.7,0.158,2.0,0.217,7.826,0.043,29.324,Good
Saber Zakhil,BELG,35.54,170.74,0.218,3.571,0.214,9.357,0.214,60.681,Good
Mohammed Rizlan,QAT,25.93,103.73,0.112,1.909,0.318,8.591,0.045,26.897,Good
D Wiese,NAM/SA,21.5,121.69,0.123,1.444,0.333,7.444,0.037,26.163,Good
Tamoor Sajjad,QAT,34.54,135.71,0.164,3.067,0.267,11.067,0.067,46.874,Good
JP Kotze,NAM,22.17,123.2,0.17,2.889,0.056,7.056,0.111,27.313,Good
Mashrafe Mortaza,BAN,13.46,136.1,0.184,1.308,0.282,3.256,0.0,18.319,Average
AM Rahane,INDIA,20.83,113.29,0.115,1.9,0.1,10.55,0.05,23.598,Good
H Singh,GER,22.05,120.96,0.132,1.864,0.227,9.136,0.045,26.672,Good
J Rasu,VAN,28.76,110.65,0.127,3.308,0.0,13.077,0.154,31.823,Good
J Butler,GUE,26.21,93.62,0.099,2.438,0.125,12.938,0.062,24.538,Good
Aamir Kaleem,OMA,17.42,107.64,0.118,1.6,0.16,7.44,0.0,18.751,Average
Aizaz Khan,HKG,14.0,108.33,0.095,0.941,0.235,6.588,0.0,15.166,Average
PJ Moor,ZIM,24.26,127.27,0.161,2.421,0.211,6.947,0.053,30.876,Good
Mohamed Rishwan,MALD,21.35,102.54,0.133,2.765,0.0,8.176,0.176,21.892,Good
Nasir Jamshed,PAK,21.35,113.43,0.144,2.556,0.056,8.611,0.111,24.217,Good
L Ronchi,AUS/NZ,17.95,140.23,0.172,1.692,0.231,5.962,0.038,25.171,Good
Basil George,MLT,23.86,124.73,0.153,2.933,0.0,10.133,0.133,29.761,Good
CJ Jordan,ENG,14.91,132.1,0.155,0.977,0.442,3.581,0.0,19.696,Average
MJ Santner,NZ,14.91,123.44,0.124,0.837,0.442,4.465,0.0,18.405,Average
RB Patel,UGA,32.45,111.56,0.125,2.5,0.312,11.688,0.125,36.201,Good
Anamul Haque,BAN,32.27,117.94,0.166,3.846,0.154,10.077,0.077,38.059,Good
MC Henriques,AUS,20.88,124.56,0.112,1.524,0.19,9.381,0.095,26.008,Good
HL Carlyon,JER,20.76,112.77,0.157,2.882,0.0,8.294,0.176,23.411,Good
TC Barker,LUX,29.33,122.22,0.128,3.083,0.0,16.167,0.167,35.847,Good
SA Yadav,INDIA,39.0,165.56,0.245,4.333,0.25,8.583,0.333,64.568,Good
Aarif Sheikh,NEPAL,20.58,105.1,0.108,1.714,0.19,9.238,0.0,21.63,Good
OA Shah,ENG,24.78,122.18,0.137,2.6,0.067,11.0,0.067,30.276,Good
MJ Richardson,GER,31.45,102.97,0.107,2.25,0.312,12.25,0.125,32.384,Good
L Siaka,PNG,12.35,104.21,0.12,1.333,0.067,5.667,0.0,12.87,Average
PWH de Silva,SL,15.0,120.62,0.129,1.276,0.207,6.655,0.034,18.093,Average
TM Head,AUS,26.53,133.2,0.127,2.062,0.188,11.938,0.0,35.338,Good
SO Tikolo,KENYA,28.75,122.77,0.185,3.467,0.2,8.333,0.133,35.296,Good
S Chanderpaul,WI,20.17,98.84,0.112,1.773,0.227,8.045,0.0,19.936,Average
J Mees,LUX,28.58,128.46,0.172,3.067,0.2,9.4,0.133,36.714,Good
Imad Wasim,PAK,13.03,143.64,0.182,1.162,0.297,4.081,0.0,18.716,Average
Faisal Khan,SAUDI,33.7,182.16,0.314,5.273,0.091,5.909,0.091,61.388,Good
H Gori,CZK-R,30.63,132.15,0.208,4.818,0.0,8.273,0.091,40.478,Good
A Symonds,AUS,48.14,169.34,0.216,3.909,0.364,13.182,0.182,81.52,Good
WIA Fernando,SL,12.0,94.64,0.093,1.1,0.067,6.333,0.0,11.357,Average
N Davin,NAM,22.33,155.09,0.222,3.0,0.062,7.062,0.062,34.632,Good
SR Taylor,USA,37.22,136.17,0.203,4.545,0.182,9.727,0.182,50.682,Good
Karim Janat,AFG,17.52,116.43,0.14,1.818,0.136,6.5,0.045,20.399,Good
Adnan Idrees,KUW,33.2,158.85,0.268,5.6,0.0,8.4,0.3,52.738,Good
V Vijh,LUX,25.38,97.92,0.101,2.125,0.188,11.375,0.062,24.852,Good
SR Thompson,IRE,14.9,129.13,0.146,1.233,0.267,5.067,0.033,19.24,Average
T Banton,ENG,23.35,147.96,0.208,3.286,0.0,7.786,0.143,34.549,Good
AC Douglas,BMUDA,23.35,138.55,0.22,3.467,0.067,5.4,0.133,32.351,Good
RJ Nicol,NZ,17.21,110.47,0.149,2.316,0.0,6.789,0.105,19.012,Average
RR Rossouw,SA,29.72,137.97,0.173,2.929,0.214,9.929,0.143,41.005,Good
